Delta,Theta,Alpha,Beta,Gamma,Attention
26.49694137,1.54452659,-15.98444442,9.346658811,-13.05250154,5.10E+01
26.52914816,1.478085905,-15.54879224,9.244352453,-9.197388906,5.10E+01
26.56190333,1.411608641,-15.07588064,9.091483302,-5.368260583,5.40E+01
26.59522305,1.345015887,-14.56904515,8.880091705,-1.473535921,5.40E+01
26.62910674,1.278165407,-14.03226793,8.612081758,2.543905046,4.80E+01
26.66352379,1.210911065,-13.46837472,8.296682299,6.379402019,4.00E+01
26.69844609,1.143069771,-12.8812069,7.944889249,9.827242894,3.00E+01
26.73383722,1.074366801,-12.27622901,7.577962362,12.82060447,3.00E+01
26.7696645,1.004590353,-11.65774447,7.212164501,15.20955294,1.60E+01
26.80592802,0.933654672,-11.02879567,6.847186194,16.97560201,2.70E+01
26.84262604,0.861504597,-10.39162227,6.483237037,18.06229438,3.40E+01
26.87975284,0.78817241,-9.746300835,6.117770517,18.22811767,3.40E+01
26.91731725,0.713706469,-9.093229035,5.744589366,17.40445512,4.70E+01
26.95532699,0.638057835,-8.434939142,5.365584063,15.75500193,3.70E+01
26.99380342,0.561258904,-7.772725847,4.976033759,13.49702018,4.00E+01
27.03279412,0.483437935,-7.106892724,4.560412227,11.02495366,4.30E+01
27.07233395,0.404678938,-6.438208478,4.110162149,8.665031708,3.00E+01
27.11243261,0.325057365,-5.766583284,3.623914326,6.406180461,3.50E+01
27.15309604,0.244620389,-5.092444771,3.103909971,4.242861313,4.40E+01
27.19431143,0.163307712,-4.417881159,2.564252172,2.128194137,2.90E+01
27.23607278,0.081134377,-3.743544223,2.015199644,-0.010186898,4.00E+01
27.27841227,-0.001714295,-3.067804709,1.451386817,-1.988961842,5.40E+01
27.32135242,-0.085066417,-2.388912455,0.872437633,-3.716358522,5.10E+01
27.36490565,-0.168726682,-1.704132144,0.281063217,-5.271357583,6.60E+01
27.40909327,-0.252501957,-1.011361409,-0.323203286,-6.632960609,7.00E+01
27.45392218,-0.336346164,-0.311626972,-0.93375406,-7.789437639,5.60E+01
27.49940615,-0.420200119,0.393828454,-1.547820094,-8.693795555,5.40E+01
27.54558031,-0.503967707,1.103374494,-2.172489143,-9.1215153,4.80E+01
27.59246459,-0.587624928,1.814196344,-2.80844782,-8.968972795,3.00E+01
27.64005978,-0.671156822,2.524136775,-3.448763939,-8.374429154,3.50E+01
27.68836455,-0.754608045,3.22940271,-4.086497141,-7.476557726,3.40E+01
27.73736269,-0.838147785,3.923565306,-4.709233304,-6.493605752,4.30E+01
27.78704616,-0.921869244,4.601678505,-5.306633339,-5.62289204,5.00E+01
27.8374396,-1.005706037,5.261204712,-5.879305122,-4.813168864,5.10E+01
27.88856817,-1.089558806,5.900391571,-6.426441415,-4.034562053,5.60E+01
27.94046162,-1.173220739,6.520065988,-6.946421832,-3.289245738,5.30E+01
27.99315528,-1.256501082,7.120159687,-7.440151846,-2.525491734,5.70E+01
28.04666589,-1.339397745,7.696324914,-7.903996248,-1.802595756,4.80E+01
28.10102079,-1.421838047,8.245424517,-8.337037847,-1.123892991,5.10E+01
28.15626565,-1.503669557,8.76534024,-8.744367889,-0.35650997,5.70E+01
28.21243225,-1.584806883,9.253159925,-9.127632354,0.553769134,5.00E+01
28.26954082,-1.665135542,9.707996935,-9.485195386,1.593653634,4.80E+01
28.32760288,-1.744597681,10.12821527,-9.814507265,2.728372081,3.80E+01
28.38660522,-1.823289545,10.50983495,-10.10807236,3.807595985,2.70E+01
28.44654,-1.901235348,10.85082499,-10.36018569,4.733373689,2.90E+01
28.50742387,-1.978322626,11.15140705,-10.57211921,5.580217133,2.90E+01
28.5692619,-2.054468545,11.41224815,-10.74331879,6.393498519,4.30E+01
28.63205201,-2.129559097,11.63599252,-10.87228067,7.217362574,3.00E+01
28.69579463,-2.203499181,11.82448471,-10.95901617,8.105542474,3.00E+01
28.7604748,-2.276348052,11.97598845,-11.0005594,8.985667503,3.00E+01
28.82608175,-2.348149081,12.08893094,-10.99571112,9.805058058,3.70E+01
28.89261906,-2.41891155,12.16139933,-10.94746433,10.56933896,4.10E+01
28.96007552,-2.488711747,12.19105389,-10.85678585,11.229425,4.80E+01
29.02842266,-2.557625268,12.17793654,-10.72267179,11.73353551,4.30E+01
29.09762851,-2.625773027,12.12108828,-10.54462968,12.00693156,4.70E+01
29.1676479,-2.693378518,12.01766885,-10.32052412,11.89582348,4.40E+01
29.23844172,-2.760601226,11.86637742,-10.04894426,11.29621412,5.00E+01
29.3099975,-2.827474796,11.66694169,-9.731745975,10.20539127,4.70E+01
29.38230346,-2.894004478,11.41998366,-9.370126818,8.636500084,5.10E+01
29.4553524,-2.960104735,11.128716,-8.964706442,6.662957841,2.10E+01
29.5291442,-3.025683372,10.7957007,-8.517071296,4.363404377,2.00E+01
29.60366745,-3.090763741,10.42096829,-8.028015498,1.728358146,2.00E+01
29.67892342,-3.155291774,10.00558691,-7.49893735,-1.201942987,1.10E+01
29.75493367,-3.219123765,9.551087615,-6.932843655,-4.327848032,3.40E+01
29.83170594,-3.282175981,9.058956965,-6.332281975,-7.575946225,3.50E+01
29.90923018,-3.344385568,8.532705712,-5.699381384,-10.85321523,5.60E+01
29.9874881,-3.40573647,7.975551705,-5.036630434,-14.08118171,5.70E+01
30.06643751,-3.466345857,7.389572722,-4.346146916,-17.24790513,6.40E+01
30.14604336,-3.526267058,6.778259125,-3.63047789,-20.28956585,6.90E+01
30.22630388,-3.585389928,6.146246082,-2.893387732,-23.04940434,6.90E+01
30.3072065,-3.64363944,5.498676854,-2.138638359,-25.37151919,5.70E+01
30.38873082,-3.700936678,4.842194928,-1.370056299,-27.07057551,7.00E+01
30.47086322,-3.757192886,4.182491274,-0.591462072,-27.98686041,4.80E+01
30.55357505,-3.812439881,3.52246113,0.194267337,-28.08553316,5.60E+01
30.63684539,-3.86667962,2.864561998,0.984406828,-27.34613762,5.60E+01
30.72067437,-3.919842987,2.210088078,1.776312088,-25.76700973,6.60E+01
30.80504772,-3.971932837,1.559633507,2.567753041,-23.39915833,4.80E+01
30.88993351,-4.022993682,0.915196603,3.356378109,-20.27699761,5.30E+01
30.97529915,-4.073100302,0.27711169,4.140400759,-16.50488906,4.70E+01
31.0610996,-4.122420787,-0.356564342,4.918947625,-12.29677478,4.00E+01
31.14729544,-4.171075278,-0.986696102,5.690867593,-7.82303085,3.80E+01
31.233874,-4.219050239,-1.613124105,6.454505956,-3.177738472,4.10E+01
31.32082088,-4.26632612,-2.235121479,7.208176126,1.560012866,4.10E+01
31.408122,-4.312836968,-2.849727945,7.949642606,6.392190847,4.10E+01
31.49576961,-4.358510907,-3.455363454,8.677258155,11.27061191,4.30E+01
31.58374458,-4.403389407,-4.054365342,9.391016769,15.96988588,4.10E+01
31.67203595,-4.447465464,-4.648566722,10.09093011,20.29024126,4.30E+01
31.76064853,-4.490661431,-5.239830574,10.7771519,24.04859559,4.00E+01
31.84957496,-4.532955239,-5.830108167,11.44940605,27.05781481,4.40E+01
31.93879353,-4.574338788,-6.418277541,12.10531475,29.26593438,4.00E+01
32.02827556,-4.61484104,-7.003440088,12.74198633,30.62317996,4.00E+01
32.11797273,-4.654598137,-7.58568543,13.35599847,31.04417915,4.30E+01
32.20783885,-4.693707262,-8.163318669,13.94287966,30.5345854,4.10E+01
32.29784774,-4.732161995,-8.733907219,14.49821227,29.15296816,4.40E+01
32.38796176,-4.769988768,-9.293693182,15.0161103,27.03123829,2.90E+01
32.47813356,-4.807215036,-9.836119427,15.48853145,24.4413659,2.10E+01
32.56832113,-4.843864804,-10.35617122,15.90841397,21.59606486,1.60E+01
32.65847608,-4.880044063,-10.85255207,16.27061222,18.54187202,1.10E+01
32.74855564,-4.915838441,-11.32455668,16.57051584,15.30941099,2.30E+01
32.83853374,-4.951284054,-11.77360167,16.80542539,11.8437604,3.70E+01
32.92837275,-4.986464904,-12.20078348,16.97174112,8.122093262,3.40E+01
33.01801547,-5.021493994,-12.60295561,17.06209642,4.344301309,3.80E+01
33.1074059,-5.056498417,-12.97847619,17.06994194,0.657246329,4.00E+01
33.19648179,-5.091659346,-13.32754424,16.98942443,-2.86073462,2.70E+01
33.28518477,-5.127124557,-13.64904563,16.81476591,-6.087031242,5.10E+01
33.37348042,-5.162951167,-13.9428325,16.54332626,-8.99432033,4.30E+01
33.46133451,-5.199186829,-14.20781337,16.17273341,-11.53260835,3.40E+01
33.54871247,-5.235845031,-14.43988572,15.69997737,-13.54741021,2.70E+01
33.6355904,-5.272919102,-14.63679598,15.12444205,-14.98772947,1.40E+01
33.7219431,-5.31045053,-14.79940414,14.44725567,-15.92560747,2.90E+01
33.80775684,-5.348433011,-14.92840912,13.67148689,-16.47204358,3.80E+01
33.89303792,-5.386793617,-15.02575829,12.80367253,-16.85405646,3.80E+01
33.97778426,-5.425491845,-15.09296411,11.84946888,-17.24594297,3.80E+01
34.0619774,-5.464513062,-15.12797746,10.8111306,-17.61074566,3.80E+01
34.1455967,-5.503858873,-15.1291417,9.69105835,-17.90531303,2.40E+01
34.22860806,-5.54359646,-15.09531278,8.49035155,-18.04060274,1.40E+01
34.31098447,-5.583754706,-15.02435619,7.21124294,-17.91546806,1.10E+01
34.39272921,-5.624255343,-14.91527948,5.861386719,-17.59944947,1.10E+01
34.47384002,-5.665035947,-14.76620452,4.447804794,-17.0971405,2.60E+01
34.55430953,-5.706033686,-14.57318512,2.976488478,-16.3046802,2.30E+01
34.63413738,-5.747174897,-14.33382902,1.455135533,-15.19377252,3.50E+01
34.71331153,-5.788455144,-14.04784579,-0.109776073,-13.74338083,3.50E+01
34.79182593,-5.829853411,-13.71571972,-1.710525352,-11.97379684,2.70E+01
34.86969071,-5.871306536,-13.34022897,-3.336238649,-10.04703433,2.70E+01
34.94690562,-5.912792537,-12.92401358,-4.97752394,-8.055369096,2.70E+01
35.02345894,-5.954311624,-12.46723356,-6.627045032,-5.932376934,3.00E+01
35.09933747,-5.995883677,-11.97148617,-8.27737047,-3.636334131,3.00E+01
35.17451664,-6.037586523,-11.43970232,-9.922606168,-1.098810775,2.60E+01
35.24898102,-6.079460405,-10.87424303,-11.55485376,1.736080424,4.00E+01
35.32274283,-6.121451607,-10.2783958,-13.16062591,4.764813454,3.70E+01
35.39581751,-6.16349342,-9.654944259,-14.7253532,7.898261573,4.00E+01
35.46822845,-6.205476329,-9.004809211,-16.23258869,11.0835687,4.00E+01
35.54000426,-6.247286279,-8.330426165,-17.6644492,14.20728382,5.30E+01
35.61115825,-6.288889664,-7.63665236,-19.00546728,17.17381967,3.50E+01
35.68171483,-6.330214259,-6.928373191,-20.23762164,19.84581253,2.40E+01
35.75171496,-6.371136714,-6.211427313,-21.339283,21.98545032,2.40E+01
35.82118759,-6.411573552,-5.49114186,-22.29268792,23.42404968,2.10E+01
35.89015154,-6.451450731,-4.769831286,-23.08516455,24.11336532,4.10E+01
35.95861693,-6.490724691,-4.049734223,-23.70761536,24.03871789,5.70E+01
36.02657045,-6.529435078,-3.332941219,-24.15830559,23.28535937,6.40E+01
36.09400371,-6.567593104,-2.620344653,-24.43607323,21.94216267,6.30E+01
36.16093108,-6.605133103,-1.913318918,-24.53483377,19.98125889,5.00E+01
36.22735511,-6.642017796,-1.211750264,-24.45404775,17.4512592,5.00E+01
36.2932705,-6.678214604,-0.513011998,-24.198468,14.48342619,4.30E+01
36.3586757,-6.71368968,0.184327332,-23.77181678,11.16898966,4.30E+01
36.42355761,-6.74847181,0.879652041,-23.17965511,7.616219801,4.30E+01
36.48790834,-6.782576303,1.571898459,-22.42669773,3.903829567,6.00E+01
36.55173597,-6.815981645,2.258002179,-21.51262826,0.004605196,5.70E+01
36.61503403,-6.848709335,2.93585921,-20.4432575,-4.032896161,4.80E+01
