Delta,Theta,Alpha,Beta,Gamma,Attention
40.35787947,-4.195333425,-11.32521981,8.362402084,-31.79132222,4.70E+01
40.35846487,-4.08908574,-10.98654736,9.454698993,-36.50851029,4.70E+01
40.35840915,-3.981175408,-10.62657737,10.50523138,-40.8001188,6.00E+01
40.35774166,-3.871578953,-10.24888813,11.497105,-44.34491163,4.00E+01
40.35648513,-3.760290542,-9.856977106,12.41069801,-46.90174303,4.00E+01
40.35466492,-3.647311543,-9.454801085,13.21816714,-48.37696497,4.00E+01
40.35230674,-3.532634826,-9.046081129,13.89729119,-48.61270915,5.10E+01
40.34940607,-3.416291972,-8.632450869,14.43893981,-47.55116473,5.40E+01
40.34596333,-3.298301362,-8.215522779,14.83635472,-45.13402205,6.30E+01
40.34199135,-3.178646963,-7.796997617,15.08966767,-41.18113421,7.50E+01
40.33748614,-3.057341295,-7.377618554,15.20162374,-35.67136038,7.50E+01
40.33243664,-2.934422624,-6.958200436,15.1670556,-28.80409548,9.00E+01
40.32682189,-2.809936092,-6.538527984,14.98863363,-20.85485623,9.00E+01
40.32059661,-2.683957846,-6.116562698,14.67908276,-12.2740226,7.70E+01
40.31372722,-2.556549256,-5.691103005,14.24659522,-3.464364715,7.40E+01
40.3062102,-2.427719368,-5.262609669,13.69671546,5.458659094,6.60E+01
40.29804399,-2.297477988,-4.831818917,13.032509,14.36920529,3.80E+01
40.28924059,-2.165825661,-4.40080058,12.24691161,23.18016249,3.80E+01
40.27981011,-2.032756005,-3.971002379,11.33960815,31.79279128,4.30E+01
40.26973043,-1.898296738,-3.541000139,10.32728265,39.82424292,4.30E+01
40.25899012,-1.762458388,-3.109952225,9.224824611,46.95458687,5.60E+01
40.24759212,-1.62522253,-2.67757347,8.048269866,52.99011338,6.00E+01
40.23552745,-1.486593596,-2.243164611,6.814777285,57.68756163,7.00E+01
40.22279065,-1.346592241,-1.807580751,5.529363935,60.92857939,5.60E+01
40.20936804,-1.205253253,-1.371396603,4.199301864,62.60703644,3.40E+01
40.19522167,-1.062651573,-0.934017143,2.837462833,62.5246906,3.40E+01
40.18032528,-0.918852327,-0.496121244,1.450177506,60.64370082,3.70E+01
40.16467534,-0.773881149,-0.059554775,0.041524409,57.12016881,2.40E+01
40.14826442,-0.627781003,0.373243776,-1.388467321,52.21140037,3.80E+01
40.13109096,-0.480604005,0.798234549,-2.849996284,46.37607404,2.40E+01
40.11315014,-0.332397089,1.212223195,-4.346375103,40.00473866,1.70E+01
40.0944112,-0.183230502,1.614700446,-5.865300466,33.18349488,1.70E+01
40.07484568,-0.033165603,2.005384641,-7.391590622,25.98993411,3.80E+01
40.05442975,0.11776117,2.38491696,-8.90134573,18.41711728,3.80E+01
40.03313015,0.269492742,2.75402958,-10.37060118,10.48837187,5.30E+01
40.01091739,0.421948365,3.111110685,-11.79036371,2.569999739,6.00E+01
39.98775506,0.575045053,3.45550764,-13.1447994,-5.050205108,6.70E+01
39.9635909,0.728682479,3.787977472,-14.40967682,-12.21595316,5.40E+01
39.93838409,0.882769629,4.108325504,-15.56809373,-18.69918268,4.80E+01
39.91211292,1.037253931,4.416435593,-16.60455234,-24.40700983,4.80E+01
39.88476173,1.192083619,4.711611022,-17.5097593,-29.22837277,5.00E+01
39.85633171,1.34721216,4.991217845,-18.29013302,-32.9031732,2.90E+01
39.8268252,1.502605401,5.253634807,-18.94725099,-35.34365547,2.90E+01
39.79622673,1.658217391,5.499387024,-19.46945985,-36.68005945,1.70E+01
39.76453405,1.814020388,5.728689749,-19.85078525,-37.12254161,3.00E+00
39.73175913,1.970016154,5.942183871,-20.0864858,-37.08049437,2.60E+01
39.69790808,2.126191757,6.140425594,-20.17219873,-36.8764735,3.00E+01
39.66298988,2.282514083,6.321959181,-20.11544145,-36.47303116,4.00E+01
39.62700948,2.438944004,6.485648842,-19.92179121,-35.81648202,4.10E+01
39.58995531,2.59541687,6.630996765,-19.59071968,-34.76550178,3.50E+01
39.5518292,2.751880366,6.756745383,-19.13028286,-33.17128315,4.70E+01
39.5126589,2.908327748,6.861842384,-18.55567881,-31.20402779,6.10E+01
39.47247177,3.064743153,6.944795823,-17.88573677,-28.92454365,5.70E+01
39.43130174,3.221105071,7.002883267,-17.14870348,-26.21344958,4.30E+01
39.38918164,3.377399381,7.03428629,-16.36764663,-23.07628855,5.00E+01
39.34612032,3.533588163,7.038793246,-15.54944924,-19.50042966,3.80E+01
39.30212878,3.689641115,7.01660176,-14.69907501,-15.54097752,3.80E+01
39.25722231,3.845549511,6.969116369,-13.81534272,-11.49352357,4.00E+01
39.21140625,4.001286788,6.897867267,-12.89369205,-7.517133661,3.80E+01
39.16468815,4.15681071,6.803009875,-11.93890493,-3.49598852,2.10E+01
39.11706597,4.312073478,6.685674868,-10.94675168,0.664411647,1.70E+01
39.06851821,4.467005962,6.548082011,-9.900324037,5.137808085,2.90E+01
39.01903684,4.621552313,6.391972713,-8.791488734,10.05686,3.70E+01
38.96863878,4.775696543,6.219267861,-7.621523938,15.23974842,5.30E+01
38.9173478,4.92942614,6.031565083,-6.397688903,20.51813621,4.70E+01
38.86520753,5.082741144,5.829191071,-5.143862857,25.75312414,4.30E+01
38.8122589,5.235646074,5.613399928,-3.878150097,30.7105709,3.80E+01
38.75851261,5.388117095,5.387289449,-2.596508272,35.24568192,1.40E+01
38.70399167,5.540145462,5.153847258,-1.301554697,39.12312348,2.10E+01
38.64873192,5.691744742,4.916454775,0.000299849,41.91555669,1.60E+01
38.59275873,5.842910229,4.678294894,1.307165125,43.33502046,2.40E+01
38.5361028,5.993625849,4.440637285,2.606941508,43.29033363,3.40E+01
38.47878527,6.143862071,4.204759725,3.89344211,41.76733075,3.00E+01
38.42080166,6.293554124,3.97208265,5.174900151,38.97129669,4.80E+01
38.36215941,6.442645446,3.743128978,6.450572549,35.0928614,5.30E+01
38.30288836,6.591111301,3.518434807,7.70920551,30.08373503,4.80E+01
38.24301304,6.73891122,3.297619726,8.939719466,24.03618212,4.10E+01
38.18256263,6.885996443,3.078644637,10.12325611,17.17432854,2.90E+01
38.12156385,7.032320478,2.860229271,11.24549354,9.66409047,1.40E+01
38.0600194,7.177814684,2.642645314,12.31026458,1.753953367,8.00E+00
37.99793525,7.32241602,2.426400366,13.32096225,-6.359023815,8.00E+00
37.93532424,7.46608002,2.213183167,14.28204905,-14.6635303,2.40E+01
37.87218777,7.608741558,2.004152727,15.20298686,-22.99546422,3.40E+01
37.80852534,7.750312029,1.797894797,16.08678039,-30.93839023,3.40E+01
37.74432951,7.890697131,1.593537919,16.942734,-38.07113607,3.00E+01
37.67957636,8.029783537,1.390754374,17.79143669,-43.87648125,1.60E+01
37.61425356,8.167467941,1.188792429,18.64545489,-47.91052694,1.60E+01
37.54837293,8.303686434,0.988193039,19.50707926,-50.07838321,1.00E+01
37.48195212,8.438377951,0.789205533,20.37387821,-50.31887161,3.00E+01
37.41502476,8.57149075,0.590951987,21.23001541,-48.62134433,3.70E+01
37.34762775,8.702983977,0.393669925,22.06111431,-45.11823089,5.10E+01
37.27977986,8.832800087,0.198696966,22.86708286,-39.8879788,5.60E+01
37.21151523,8.960902087,0.007823294,23.63957231,-33.20183932,4.10E+01
37.14288653,9.087284328,-0.175816347,24.36285491,-25.63502508,5.10E+01
37.07393552,9.211920846,-0.349808715,25.02618368,-17.6273543,3.40E+01
37.00469769,9.33475946,-0.514119821,25.61647811,-9.386895174,3.70E+01
36.9352005,9.455735581,-0.668893832,26.12564579,-1.066468482,4.30E+01
36.86544717,9.574748103,-0.815006957,26.55916106,7.425973035,3.40E+01
36.79545309,9.691708156,-0.953480451,26.91464029,16.05405679,4.00E+01
36.72526674,9.806579485,-1.083398787,27.17429164,24.28917607,2.10E+01
36.65492995,9.919310063,-1.204685838,27.32250853,31.69348401,1.60E+01
36.58448428,10.02983693,-1.31853387,27.34063952,37.89651723,1.60E+01
36.51397301,10.13811031,-1.425268617,27.2113553,42.49472172,1.40E+01
36.44341481,10.24406089,-1.525127337,26.93300939,45.42098039,1.40E+01
36.37283287,10.34763462,-1.617818256,26.50250036,46.5897141,2.60E+01
36.30226301,10.44881423,-1.701327812,25.91324919,45.76991076,2.90E+01
36.23172556,10.54756275,-1.774454038,25.16639132,42.97671775,3.80E+01
36.16123141,10.64381686,-1.837880298,24.26430658,38.40513701,3.70E+01
36.09078333,10.73751661,-1.891921261,23.21542012,32.4130224,3.70E+01
36.02036312,10.82858727,-1.937114414,22.0406794,25.70408446,2.90E+01
35.94996209,10.91696466,-1.973974487,20.75523144,18.83780747,2.00E+01
35.87959915,11.00262815,-2.001358371,19.36119099,11.92474205,2.00E+01
35.80929417,11.08555656,-2.018415533,17.8594043,5.049063069,0.00E+00
35.73907704,11.16572973,-2.024950965,16.24289194,-1.887755112,0.00E+00
35.66897662,11.2431422,-2.020032194,14.50707901,-8.932308802,3.80E+01
35.59899394,11.31777859,-2.002659748,12.66475516,-15.60488228,2.40E+01
35.52913903,11.38963915,-1.971475233,10.72394273,-21.56386724,1.40E+01
35.45943512,11.45875247,-1.924059993,8.686994812,-26.66511425,3.80E+01
35.38989379,11.52513024,-1.858741093,6.562045062,-30.65259222,6.10E+01
35.32052721,11.58875905,-1.775370026,4.3539231,-33.4769711,6.70E+01
35.25133968,11.6496169,-1.674115599,2.071990493,-35.04568711,8.40E+01
35.18231306,11.70765366,-1.556095362,-0.262168034,-35.01688173,6.30E+01
35.11343842,11.76282307,-1.422619048,-2.632806594,-33.30470695,5.30E+01
35.04472699,11.81511363,-1.273854937,-5.034129387,-30.15148893,4.70E+01
34.97618506,11.86449587,-1.110856453,-7.458714802,-25.89542088,3.40E+01
34.90782201,11.910923,-0.935743825,-9.902879438,-21.15114387,4.30E+01
34.83964402,11.95436325,-0.750118115,-12.35993839,-16.42969618,3.80E+01
34.77163384,11.99478448,-0.555489232,-14.80880269,-11.7504082,4.30E+01
34.70377543,12.03216875,-0.353033172,-17.22849393,-7.137252999,4.40E+01
34.63605682,12.06653347,-0.142697059,-19.598305,-2.536986481,3.50E+01
34.56845603,12.09788012,0.074792373,-21.89270391,2.122417243,2.60E+01
34.50095159,12.12617393,0.296920168,-24.08937299,6.501850132,2.10E+01
34.433515,12.15138889,0.521381952,-26.16129136,10.39414228,3.00E+01
34.36610246,12.17349595,0.745677369,-28.07246518,13.83265326,4.00E+01
34.29868049,12.19246666,0.967359051,-29.79419487,16.71484462,5.40E+01
34.23123514,12.20830489,1.185572535,-31.30901151,19.00122531,6.10E+01
34.16375806,12.22100841,1.399353633,-32.60437814,20.60960814,5.00E+01
34.09625652,12.23056069,1.607360128,-33.67977511,21.20899744,3.00E+01
34.02873948,12.23696315,1.809087695,-34.53552521,20.66842234,2.90E+01
33.96119888,12.24022535,2.004240638,-35.161312,19.20698098,3.40E+01
33.89364013,12.24036592,2.193200998,-35.55611635,17.07713688,5.00E+01
33.82608384,12.23742754,2.377726364,-35.72842438,14.6968054,6.10E+01
33.75854337,12.23144207,2.5589352,-35.68344575,12.4314166,7.50E+01
33.69103162,12.22241198,2.736453222,-35.42849645,10.24159413,6.60E+01
33.62355643,12.21033911,2.909745868,-34.96845665,8.10870866,6.10E+01
33.55610737,12.19521413,3.077394585,-34.2977288,6.019694612,6.90E+01
33.48868703,12.17702809,3.238284809,-33.42035798,3.903997644,7.40E+01
33.4213263,12.15580049,3.393340157,-32.35887039,1.938050058,9.30E+01
33.35405419,12.13154029,3.54297232,-31.13620329,0.200331939,9.30E+01
33.28690435,12.10424141,3.686983977,-29.78031934,-1.442838773,1.00E+02
33.21990843,12.07391344,3.82563643,-28.31805593,-3.005629837,1.00E+02
33.15307047,12.04057242,3.958407032,-26.75851809,-4.46338649,8.80E+01
33.08639518,12.00424634,4.085068378,-25.1117294,-5.758612158,8.00E+01
33.01989089,11.96499245,4.206464746,-23.38969734,-6.64148499,5.30E+01
32.95355278,11.92286129,4.322579895,-21.59717922,-6.983816685,2.40E+01
32.88737552,11.87788021,4.432323356,-19.7411443,-6.94341185,2.70E+01
32.8213412,11.83008834,4.534404879,-17.82069312,-6.666733256,5.10E+01
32.7554081,11.77952922,4.626652535,-15.81995718,-6.361962692,4.30E+01
32.68954797,11.72624644,4.707352874,-13.73368923,-6.226541831,6.30E+01
32.62375995,11.6703034,4.776624906,-11.57574389,-6.193700758,5.60E+01
32.55804918,11.61175966,4.834640798,-9.365866732,-6.221562689,4.10E+01
32.49244122,11.55066235,4.881895949,-7.140053376,-6.321247425,6.10E+01
32.42695679,11.48707354,4.919129344,-4.931809828,-6.435194974,7.50E+01
32.36157972,11.42106919,4.945883246,-2.750421425,-6.599635334,7.50E+01
32.29630596,11.35272984,4.962296899,-0.614944982,-6.79367394,6.40E+01
32.23114443,11.28215059,4.969518292,1.4457159,-6.846765616,5.00E+01
32.16609362,11.20941688,4.968036745,3.412051689,-6.672448985,2.70E+01
32.10116269,11.13458396,4.958037386,5.261916709,-6.277220557,2.10E+01
32.03635216,11.05770254,4.939349967,6.982327525,-5.68807843,3.70E+01
31.97163723,10.97881221,4.910591326,8.582702467,-5.049898128,5.00E+01
31.90700851,10.89794332,4.870876783,10.0640131,-4.459482116,5.30E+01
31.84248042,10.815138,4.820724666,11.40950969,-3.826756219,8.00E+01
31.77806626,10.73041992,4.76030334,12.60876752,-3.098583424,7.00E+01
31.71379065,10.64378682,4.68977148,13.6498811,-2.237228763,7.40E+01
31.64967315,10.55524766,4.609371208,14.52330403,-1.186885937,7.40E+01
31.58570258,10.46482464,4.518315188,15.23916078,-0.012729806,5.10E+01
31.52187012,10.37254509,4.416064396,15.80552644,1.24337155,5.10E+01
31.45816915,10.2784592,4.302696655,16.22458513,2.612439088,6.40E+01
31.3945846,10.18260216,4.177722942,16.50993533,4.064209472,5.40E+01
31.33111178,10.08496498,4.04037008,16.68090504,5.546568447,7.40E+01
31.26773736,9.985543846,3.889684868,16.76342575,6.988432925,5.30E+01
31.2044299,9.884335346,3.724026124,16.79811842,8.239797484,2.70E+01
31.14117069,9.781331555,3.542231619,16.81670086,9.192673468,3.00E+01
31.07795748,9.676552846,3.344320706,16.82866767,9.842654447,2.60E+01
31.01479445,9.570013976,3.130491537,16.83927787,10.1907681,3.50E+01
30.95170546,9.461713927,2.901475251,16.84147986,10.28008072,4.10E+01
30.88871206,9.351668702,2.658240649,16.82482754,10.15981811,2.40E+01
30.8258137,9.239903126,2.401073095,16.79474254,9.794315161,1.30E+01
30.76302147,9.126451635,2.130895509,16.74299695,9.188523507,1.00E+00
30.70035682,9.011373991,1.849478474,16.64388501,8.402895088,1.60E+01
30.63783543,8.894711948,1.558190588,16.4837096,7.465674137,2.70E+01
30.57548022,8.776464241,1.258157235,16.2589929,6.410966641,3.70E+01
30.51330857,8.656621448,0.950283509,15.97512796,5.255169362,6.30E+01
30.45132063,8.535151638,0.63460481,15.66193463,3.947148325,4.30E+01
30.38952868,8.412021018,0.31167739,15.33952074,2.474752508,6.10E+01
30.32796499,8.287233662,-0.016579791,14.99621612,0.905775156,5.10E+01
30.26666095,8.160774496,-0.348443096,14.62893346,-0.702190965,4.10E+01
30.2056551,8.032604301,-0.682145883,14.23791337,-2.276027232,6.70E+01
30.14498195,7.902706056,-1.015882711,13.81819335,-3.744093908,5.60E+01
30.08465131,7.771072932,-1.348906419,13.38198654,-5.105764485,4.70E+01
30.02467302,7.63771735,-1.680351232,12.93359833,-6.349250984,3.80E+01
29.96505702,7.502698055,-2.008963044,12.45849906,-7.440260187,2.60E+01
29.90580302,7.366063198,-2.334102344,11.95523882,-8.374761755,2.90E+01
29.84691341,7.227823337,-2.655397538,11.43522501,-9.147023777,3.70E+01
29.78837919,7.088009484,-2.972898553,10.9112768,-9.771409268,5.30E+01
29.73017136,6.946662413,-3.287590157,10.40931021,-10.31215482,4.40E+01
29.67227008,6.803822131,-3.600016129,9.947608643,-10.80517265,6.00E+01
29.61467217,6.659558504,-3.909586292,9.518024041,-11.23016158,6.40E+01
29.5573774,6.513935398,-4.215614514,9.112231315,-11.55879373,6.10E+01
29.50040031,6.366995305,-4.516856565,8.71782513,-11.72675296,5.60E+01
29.44374858,6.218808521,-4.812213108,8.316700357,-11.67512012,3.40E+01
29.38739967,6.069476351,-5.101948182,7.903603709,-11.41006674,4.80E+01
29.33133731,5.919109602,-5.385947461,7.463736602,-10.91423317,4.40E+01
29.27555087,5.767845534,-5.66360317,6.966394907,-10.14337111,4.70E+01
29.22002412,5.615806782,-5.934646423,6.392310183,-9.081250435,5.70E+01
29.16475508,5.463061509,-6.198351431,5.73380247,-7.710482171,5.60E+01
29.10973715,5.309672129,-6.454188617,4.9902348,-6.038107889,5.10E+01
29.05494924,5.155685117,-6.702385881,4.181091656,-4.130625742,5.70E+01
29.00038243,5.001132117,-6.942581661,3.322074483,-2.036552315,3.80E+01
28.94604008,4.846069106,-7.173602999,2.40788173,0.238951938,3.50E+01
28.89192932,4.690521625,-7.394168962,1.443797615,2.670799655,4.10E+01
28.83807131,4.53447035,-7.602439521,0.44302154,5.232756114,3.50E+01
28.78447904,4.377925432,-7.796841127,-0.586970749,7.892673757,5.40E+01
28.7311387,4.220934747,-7.977025766,-1.632053733,10.57032694,5.30E+01
28.67803456,4.063565131,-8.142648328,-2.684770616,13.18976185,6.10E+01
28.62514355,3.905937601,-8.293502986,-3.755187578,15.69094134,6.00E+01
28.57243975,3.748154789,-8.429569676,-4.842429853,17.98302913,3.80E+01
28.5199166,3.590241728,-8.550083003,-5.9273869,19.95495652,5.00E+01
28.46755796,3.432246603,-8.654653515,-6.992738954,21.47941119,5.10E+01
28.41533303,3.274233302,-8.743568386,-8.015174324,22.3926996,5.70E+01
28.36322196,3.116247929,-8.816716102,-8.973488867,22.56794164,9.30E+01
28.31121008,2.958368414,-8.873805784,-9.866372437,21.96372891,6.90E+01
28.25929003,2.800651731,-8.91437362,-10.69014153,20.56707432,8.00E+01
28.20747553,2.643102952,-8.93724684,-11.43721636,18.41988306,6.90E+01
28.15577354,2.485757859,-8.941601827,-12.10845403,15.59086655,4.80E+01
28.10417007,2.328691135,-8.927539002,-12.70373002,12.1119115,1.60E+01
28.0526588,2.171975425,-8.89500111,-13.22990158,8.080459241,1.30E+01
28.00123563,2.015708662,-8.843988173,-13.70858773,3.674929552,2.70E+01
27.94989572,1.859972905,-8.774571101,-14.15333863,-0.95485599,2.60E+01
27.89865034,1.70478512,-8.686168587,-14.56208296,-5.687395025,1.30E+01
27.84750742,1.550163259,-8.578375433,-14.9301945,-10.41657244,1.60E+01
27.79646495,1.39612208,-8.451172278,-15.24198595,-15.107903,2.00E+01
27.74553218,1.242657247,-8.304251443,-15.48418518,-19.67024494,2.00E+01
27.6947275,1.089785215,-8.137264519,-15.66366236,-23.86586642,2.60E+01
27.64407322,0.937499617,-7.949783408,-15.78053851,-27.4671701,2.30E+01
27.59360385,0.785753095,-7.74098746,-15.82754059,-30.23771723,2.60E+01
27.54334708,0.634524977,-7.510378891,-15.80373825,-31.96125023,2.70E+01
27.49330943,0.483829654,-7.258128083,-15.70368363,-32.5775073,2.90E+01
27.44349534,0.333696139,-6.984538606,-15.52706869,-32.04597975,4.00E+01
27.39390192,0.184198178,-6.690279079,-15.28810416,-30.33325336,5.00E+01
27.34452183,0.035402985,-6.376146862,-14.99332886,-27.49325797,4.00E+01
27.29535955,-0.112673795,-6.042541708,-14.63640306,-23.59994703,3.80E+01
27.24640853,-0.259989672,-5.690233074,-14.21272473,-18.82481449,4.40E+01
27.19764637,-0.406478231,-5.320449555,-13.71298733,-13.497523,4.00E+01
27.14906085,-0.552091799,-4.934281342,-13.13001057,-7.885604675,5.00E+01
27.10065002,-0.696775576,-4.532855864,-12.47199738,-2.111565739,4.70E+01
27.05241839,-0.840493453,-4.117251567,-11.74546251,3.722764506,3.80E+01
27.00438981,-0.983257674,-3.68816824,-10.95436585,9.624005806,3.50E+01
26.95658066,-1.125055078,-3.246653622,-10.10777652,15.53854651,3.40E+01
26.90898077,-1.265821723,-2.79445836,-9.211592269,21.15026977,3.00E+01
26.86158719,-1.405502789,-2.333332578,-8.275662941,26.18913225,2.90E+01
26.81440055,-1.544034412,-1.865179094,-7.319000802,30.43175677,4.00E+01
26.76741756,-1.681356221,-1.391830675,-6.355162713,33.63697463,3.80E+01
26.72064976,-1.817458252,-0.914410757,-5.389410543,35.74033042,4.70E+01
26.67410331,-1.95232391,-0.434016685,-4.425068821,36.67698437,4.00E+01
26.62776996,-2.085921862,0.048248655,-3.457723922,36.31324324,2.90E+01
26.58165299,-2.218245896,0.531608879,-2.483863986,34.65279121,2.00E+01
26.53576682,-2.349295455,1.01525241,-1.510279555,31.80565491,2.00E+01
26.49012836,-2.479086977,1.498746839,-0.538828032,27.980204,2.00E+01
26.4447667,-2.607675252,1.982310987,0.433529759,23.58094726,2.10E+01
26.3997051,-2.735097089,2.465856888,1.406502463,18.93278188,1.70E+01
26.35494527,-2.861347359,2.94869689,2.381847587,14.1071552,1.00E+01
26.31048925,-2.986417772,3.430028705,3.358518642,9.158316528,7.00E+00
26.2663357,-3.110277624,3.908546816,4.327158866,4.033460997,8.00E+00
26.22248015,-3.232901021,4.383188722,5.283312252,-1.284271733,2.00E+01
26.17893164,-3.354311893,4.853966071,6.231494847,-6.500639689,2.10E+01
26.13569223,-3.474518457,5.320683527,7.175143702,-11.39817352,2.70E+01
26.09275201,-3.593509134,5.782958464,8.120056949,-15.86814814,2.10E+01
26.05011023,-3.711292539,6.24050643,9.070894909,-19.73784413,1.70E+01
26.00777282,-3.827874658,6.69235742,10.02247278,-22.96161127,2.10E+01
25.96575118,-3.943277285,7.137591743,10.97026284,-25.46760923,2.40E+01
25.92407272,-4.057563005,7.575640258,11.91117984,-27.0396227,2.60E+01
25.88276081,-4.170779153,8.005415042,12.83783013,-27.61151994,1.30E+01
25.84182266,-4.282940119,8.425420723,13.74314128,-27.30357427,8.00E+00
25.80127232,-4.3940705,8.833846325,14.61626966,-26.29533296,4.00E+00
25.76112745,-4.504190498,9.228173764,15.43886462,-24.93319726,7.00E+00
25.72140356,-4.613325384,9.60623223,16.19623567,-23.49420012,2.40E+01
25.68212555,-4.721538548,9.966893951,16.88092552,-21.95587537,2.40E+01
25.64331471,-4.828890154,10.30913663,17.48652142,-20.29098718,2.70E+01
25.60498225,-4.935431282,10.63237634,18.01189527,-18.4130845,2.90E+01
25.56714762,-5.041230852,10.93598944,18.4542267,-16.22357906,2.70E+01
25.52983959,-5.146360606,11.21828024,18.80021946,-13.8749643,3.80E+01
25.49308779,-5.250903077,11.47792989,19.03949239,-11.43293765,4.30E+01
25.45692883,-5.354965666,11.71414311,19.16477108,-8.813488744,4.10E+01
25.42139487,-5.458636477,11.92582784,19.16728851,-6.031421341,4.10E+01
25.38650152,-5.561964335,12.11218394,19.04383505,-3.090049904,2.00E+01
25.35226326,-5.664986385,12.27226143,18.7905125,-0.040116749,2.00E+01
25.31869134,-5.76771146,12.40444873,18.39907339,2.88340579,4.00E+00
25.28579143,-5.870140673,12.50767266,17.86662686,5.554733845,1.00E+00
25.25357407,-5.972300926,12.58171121,17.19603386,8.068692629,1.30E+01
25.22204128,-6.074190819,12.62642522,16.39259784,10.50742336,7.00E+00
25.191182,-6.175775524,12.64212425,15.46779707,13.01827965,2.60E+01
25.16099089,-6.27703264,12.62902636,14.43155274,15.72062127,2.70E+01
25.13147048,-6.377944006,12.58642065,13.28547808,18.49073175,2.70E+01
25.10262544,-6.478498487,12.51372279,12.03200198,21.21880461,3.40E+01
25.07447109,-6.578717213,12.41045093,10.67255812,23.821538,3.50E+01
25.04701654,-6.678594593,12.27599956,9.20921631,26.14762628,2.70E+01
25.02025035,-6.778064473,12.11032945,7.6527606,28.12510087,2.70E+01
24.99416428,-6.877062801,11.91322506,6.01243407,29.61702126,2.40E+01
24.96875157,-6.975516512,11.6840092,4.294151962,30.34275286,2.60E+01
24.94400222,-7.07335071,11.42244666,2.507234909,30.12355071,4.80E+01
24.9199171,-7.170537929,11.1286932,0.660469622,28.91414927,4.80E+01
24.89649368,-7.267044509,10.80314857,-1.235502609,26.72120031,5.00E+01
24.87372023,-7.362822096,10.44687253,-3.164383311,23.70919956,4.10E+01
24.85159255,-7.457844704,10.06084129,-5.112400293,20.02390092,3.40E+01
24.83011215,-7.552087493,9.645440542,-7.07068661,15.63231292,3.80E+01
24.80928326,-7.645543966,9.201369581,-9.02978753,10.5932772,4.10E+01
24.78911983,-7.738248134,8.72952844,-10.98211621,5.046104734,4.00E+01
24.7696289,-7.830203549,8.230880005,-12.91757304,-0.90368872,3.40E+01
24.75079889,-7.921352824,7.70698445,-14.81712307,-7.069637182,4.70E+01
24.73261566,-8.011622448,7.159430847,-16.66049722,-13.29698504,5.30E+01
24.71505769,-8.100896167,6.589630413,-18.4256772,-19.5505479,5.30E+01
24.69810151,-8.18905943,5.999425418,-20.08801512,-25.68902225,5.60E+01
24.68173734,-8.276061366,5.390998529,-21.62590112,-31.41842772,3.70E+01
24.66594773,-8.361821142,4.766764421,-23.01405576,-36.43271496,2.40E+01
24.65070469,-8.446224493,4.129619016,-24.22144311,-40.34672855,2.40E+01
24.63598827,-8.529186389,3.482141577,-25.22284404,-42.83854519,2.40E+01
24.62178254,-8.610623588,2.826033821,-26.00127127,-43.8329847,3.70E+01
24.60807769,-8.690479733,2.162784182,-26.5447888,-43.28854556,4.40E+01
24.59488036,-8.768765177,1.493390026,-26.85211199,-41.22365064,5.00E+01
24.58219255,-8.84546835,0.818641097,-26.92292545,-37.74948498,4.10E+01
24.57000086,-8.920522209,0.139829057,-26.74933074,-32.91928478,2.40E+01
24.55829868,-8.993882882,-0.542364275,-26.33163016,-26.92943094,1.30E+01
24.54708228,-9.06550982,-1.228040941,-25.67817364,-20.18991146,1.30E+01
24.53634677,-9.135364234,-1.916938794,-24.79560613,-13.0200116,2.10E+01
24.52609795,-9.203457688,-2.608474286,-23.69317307,-5.601382678,3.40E+01
24.51633864,-9.269792811,-3.301849485,-22.37885598,1.922712541,5.00E+01
24.50706285,-9.334346327,-3.995460845,-20.85304014,9.584646231,4.10E+01
24.49827393,-9.397131072,-4.688246181,-19.12511701,17.31219258,2.90E+01
24.48998522,-9.458189559,-5.380596835,-17.22083863,24.68113219,2.90E+01
24.48221266,-9.517579756,-6.072759517,-15.1675378,31.32075518,2.10E+01
24.47498108,-9.575399695,-6.765049141,-12.99799887,36.88817626,3.40E+01
24.46830968,-9.631721433,-7.457710847,-10.74353785,41.0343266,4.10E+01
24.46219823,-9.686541711,-8.149661227,-8.418938875,43.68359219,4.70E+01
24.45664425,-9.739844782,-8.839798687,-6.039113783,44.76048808,3.80E+01
24.45163947,-9.791582583,-9.52721644,-3.61917577,44.11477998,2.00E+01
24.44717008,-9.841689231,-10.21028039,-1.168045477,41.77767617,3.00E+01
24.44323034,-9.890138948,-10.8871624,1.301778906,37.88408735,2.40E+01
24.43980378,-9.936860952,-11.55536571,3.785939546,32.71194737,4.00E+01
24.43685828,-9.981723072,-12.21115446,6.294482569,26.8161283,4.40E+01
24.43437098,-10.02463101,-12.85144495,8.826572015,20.6354517,4.40E+01
24.43233064,-10.0655316,-13.47462435,11.36305107,14.28258787,2.30E+01
24.43073161,-10.10439701,-14.07936127,13.87803111,7.841748489,2.30E+01
24.42958565,-10.14127421,-14.66532356,16.32816998,1.232538614,1.70E+01
24.42889771,-10.17617975,-15.23192494,18.67305335,-5.564002826,1.70E+01
24.42864647,-10.20902272,-15.776623,20.89685817,-12.1333385,1.40E+01
24.42881756,-10.23973998,-16.29748878,22.9737671,-18.16432009,2.00E+01
24.42940101,-10.2682827,-16.79328485,24.86847506,-23.48071155,2.30E+01
24.43038252,-10.29458661,-17.26231906,26.55585168,-27.8287809,2.60E+01
24.4317616,-10.31864837,-17.70362705,28.00903921,-31.15487686,3.00E+01
