Delta,Theta,Alpha,Beta,Gamma,Attention
46.0273441,-1.198258031,-4.619652012,-3.083926619,2.900394213,6.60E+01
45.97200779,-1.133416822,-4.330509072,-3.71465389,2.745470374,7.00E+01
45.91573081,-1.067612664,-4.035660016,-4.349990605,2.532301758,7.40E+01
45.85851429,-1.000865219,-3.73586582,-4.988557582,2.256735858,6.90E+01
45.80035893,-0.933192919,-3.431767839,-5.628754119,1.925100706,9.00E+01
45.74126419,-0.864610305,-3.123707764,-6.268703535,1.585272232,9.00E+01
45.68122825,-0.795129307,-2.811983147,-6.907022663,1.26431019,7.70E+01
45.62025124,-0.724767554,-2.497197994,-7.542055751,0.937787553,8.10E+01
45.55833082,-0.653536444,-2.179679551,-8.17259712,0.588791329,7.00E+01
45.49546105,-0.581438511,-1.859438082,-8.798434298,0.193884036,7.70E+01
45.43163784,-0.508481128,-1.536634145,-9.418663879,-0.269342901,8.40E+01
45.36685936,-0.434676673,-1.211476176,-10.03122659,-0.777530122,7.50E+01
45.3011247,-0.360040219,-0.884277716,-10.6337585,-1.313265425,7.70E+01
45.23443654,-0.284596229,-0.555724075,-11.22293417,-1.873521235,8.40E+01
45.16679568,-0.208364205,-0.226232964,-11.79555535,-2.438018843,9.40E+01
45.09819681,-0.131348235,0.104394729,-12.34982893,-2.991331854,1.00E+02
45.02863568,-0.053555027,0.436317433,-12.88338059,-3.508025103,1.00E+02
44.95810845,0.025008092,0.769778927,-13.39324911,-3.934687212,1.00E+02
44.88661102,0.104333808,1.104956997,-13.87673956,-4.235167209,7.50E+01
44.81414386,0.184402134,1.441393363,-14.3305222,-4.403721701,8.80E+01
44.74070708,0.265193527,1.778608139,-14.75145945,-4.440467453,8.10E+01
44.66629902,0.346692123,2.11615715,-15.13723728,-4.36823319,8.80E+01
44.59092095,0.428874313,2.453282124,-15.48479426,-4.209039323,1.00E+02
44.51457579,0.511712694,2.789203865,-15.79007162,-3.953103035,8.70E+01
44.43726841,0.595174113,3.122818509,-16.0488702,-3.606683933,9.00E+01
44.35900793,0.679213705,3.452447893,-16.25634433,-3.193486985,8.00E+01
44.27980135,0.763792197,3.776718984,-16.40771936,-2.727745671,8.30E+01
44.19965,0.848884832,4.094887902,-16.49925369,-2.231240634,7.70E+01
44.11855455,0.934468601,4.406350446,-16.52696565,-1.718951357,8.00E+01
44.03651289,1.020528273,4.710990924,-16.48668116,-1.181667572,7.50E+01
43.95352336,1.107046879,5.008550721,-16.37433488,-0.626737273,6.40E+01
43.86959054,1.193989971,5.297858392,-16.18518609,-0.09057946,7.50E+01
43.78471688,1.281328557,5.578016851,-15.91464654,0.391976006,6.60E+01
43.69890204,1.369040544,5.848415838,-15.55861987,0.776928672,6.90E+01
43.61214805,1.457097827,6.108249122,-15.11344418,1.026165069,7.70E+01
43.52445624,1.545475195,6.357083833,-14.57666604,1.137194419,8.10E+01
43.43582967,1.634142936,6.59433792,-13.94667672,1.108437788,8.70E+01
43.34627635,1.723058467,6.81891161,-13.22272258,0.938905181,7.70E+01
43.25580192,1.812185845,7.030132847,-12.40506809,0.642433097,6.90E+01
43.16440739,1.901501069,7.227883996,-11.49460005,0.228895105,5.60E+01
43.07209458,1.990978593,7.41213606,-10.49364939,-0.275038925,5.70E+01
42.97886421,2.080596898,7.583270274,-9.406344148,-0.813698626,6.00E+01
42.88471766,2.170332127,7.741523852,-8.236865177,-1.34427489,5.70E+01
42.78966161,2.260145545,7.886359188,-6.988833426,-1.847126218,6.00E+01
42.69370234,2.349999316,8.017293746,-5.666189565,-2.306753812,5.40E+01
42.59684516,2.439857171,8.133817771,-4.272433572,-2.729010823,6.00E+01
42.49909742,2.529677948,8.235327277,-2.812469348,-3.109229573,6.30E+01
42.40046587,2.61942383,8.321723464,-1.294504191,-3.398629487,6.90E+01
42.30095874,2.709052729,8.392712172,0.272834324,-3.557106643,7.50E+01
42.20058765,2.798513482,8.447599804,1.880367227,-3.551963935,8.80E+01
42.0993622,2.887760356,8.486034135,3.51838069,-3.348538158,8.40E+01
41.99728854,2.976755629,8.507909804,5.178897766,-2.943801232,8.70E+01
41.89437201,3.065463856,8.513315842,6.85346739,-2.335030837,7.00E+01
41.79061509,3.153857869,8.502895868,8.532734426,-1.508624692,6.70E+01
41.68602036,3.241909333,8.477170987,10.20805401,-0.474491464,6.60E+01
41.58059427,3.329579212,8.436131986,11.87054293,0.740344842,6.00E+01
41.47434117,3.416833558,8.380000252,13.51199744,2.091920667,7.00E+01
41.36726317,3.503643263,8.309110702,15.12593349,3.502827177,5.40E+01
41.25936389,3.589975868,8.223811146,16.70366457,4.90724646,6.30E+01
41.15064672,3.675801288,8.12491226,18.23248737,6.278133706,5.70E+01
41.04111629,3.761086444,8.013190415,19.69811533,7.589328402,5.10E+01
40.9307808,3.845789606,7.889212582,21.08313925,8.8302144,6.70E+01
40.81964651,3.929874256,7.753865196,22.36978105,9.982482115,5.10E+01
40.70771551,4.013313212,7.608281229,23.54356537,10.97616062,4.80E+01
40.5949906,4.096078284,7.453732729,24.58767682,11.75140857,5.40E+01
40.4814739,4.178143932,7.291842973,25.48277743,12.26334094,4.00E+01
40.3671682,4.259481889,7.124001508,26.2129923,12.46315432,3.80E+01
40.25208091,4.340050901,6.950946502,26.76592788,12.33498855,3.80E+01
40.13621953,4.41980869,6.773285015,27.13292169,11.86622902,2.10E+01
40.0195911,4.498711964,6.591304803,27.31253608,11.0327657,2.00E+01
39.90220505,4.576711503,6.405134082,27.30362441,9.839921142,2.10E+01
39.78407119,4.653758616,6.215247525,27.10102281,8.319318672,2.40E+01
39.66520149,4.729797855,6.021701768,26.70457559,6.524844732,2.60E+01
39.54561183,4.804762728,5.82400155,26.11844993,4.55168593,2.60E+01
39.42531669,4.878590571,5.621904148,25.34657267,2.481725641,2.90E+01
39.30432714,4.951226347,5.415392406,24.39551424,0.346754783,2.40E+01
39.18265407,5.022615741,5.204587886,23.27145164,-1.822732488,3.40E+01
39.06030612,5.092711252,4.99015865,21.97679752,-4.015175306,3.00E+01
38.93729318,5.161460779,4.772412352,20.51984101,-6.208410265,2.90E+01
38.81363085,5.22879548,4.550676263,18.91854359,-8.312259764,2.40E+01
38.68933371,5.294648752,4.324383662,17.19262471,-10.24883418,1.30E+01
38.56441519,5.358955792,4.092933581,15.36598695,-11.95911262,1.30E+01
38.43889021,5.421648453,3.8557315,13.46137218,-13.37649138,1.30E+01
38.31277174,5.48266604,3.613004995,11.49116898,-14.47361505,1.70E+01
38.18607392,5.541945011,3.364952102,9.467635953,-15.22447756,2.60E+01
38.05881401,5.599414091,3.111574701,7.40234412,-15.58420655,2.10E+01
37.93100732,5.655007773,2.853333482,5.303468869,-15.54413957,2.30E+01
37.80266681,5.70866571,2.590838468,3.18255126,-15.1296644,2.10E+01
37.67380524,5.760329407,2.325080395,1.045764965,-14.39141304,2.30E+01
37.54443331,5.809947733,2.057805302,-1.109793891,-13.42990572,3.40E+01
37.41456331,5.857463942,1.790343099,-3.279556017,-12.32571861,3.40E+01
37.28421266,5.902805822,1.523064092,-5.447225089,-11.08986481,3.50E+01
37.15339927,5.945898927,1.256165119,-7.591491518,-9.728666636,4.10E+01
37.02214231,5.986662977,0.989239838,-9.678751275,-8.221748648,4.40E+01
36.8904619,6.025015856,0.721998911,-11.67737923,-6.557195589,5.00E+01
36.75837535,6.060886369,0.455324597,-13.57187344,-4.805449576,4.80E+01
36.6259019,6.094197055,0.189700505,-15.3398548,-3.016385317,4.70E+01
36.49306378,6.124861692,-0.074856564,-16.95272007,-1.209557828,2.00E+01
36.35988082,6.152803809,-0.337977657,-18.38916034,0.574488799,2.10E+01
36.22637064,6.177955922,-0.599585047,-19.62774104,2.321612962,1.30E+01
36.09254907,6.200259231,-0.859332419,-20.65498757,4.006768304,4.70E+01
35.95842742,6.219673606,-1.116050721,-21.47489564,5.560284684,4.80E+01
35.82401765,6.236158345,-1.369071661,-22.08690079,6.949339606,5.60E+01
35.68933574,6.249660178,-1.61854539,-22.47858652,8.192554015,5.00E+01
35.55439518,6.260137395,-1.864580646,-22.64434397,9.317776123,4.00E+01
35.41920766,6.267557524,-2.107636479,-22.58029132,10.38983632,3.40E+01
35.2837853,6.271887733,-2.348029121,-22.28430082,11.45430207,2.30E+01
35.14813793,6.273104453,-2.585082913,-21.76753672,12.47463459,2.10E+01
35.01227603,6.271183099,-2.818211069,-21.0401427,13.41124169,2.70E+01
34.87621281,6.266090094,-3.046931896,-20.10725848,14.21068322,3.70E+01
34.73995841,6.257805877,-3.270488225,-18.98452852,14.80872886,4.40E+01
34.60351867,6.246331352,-3.488447045,-17.69705461,15.19512653,3.50E+01
34.46689869,6.231672044,-3.700111256,-16.27540101,15.3330364,2.90E+01
34.33010108,6.213844618,-3.904201347,-14.76167394,15.1402453,2.90E+01
34.1931295,6.192863349,-4.099860998,-13.19193448,14.57149528,2.90E+01
34.05599322,6.168720433,-4.286795517,-11.58254291,13.60784007,2.90E+01
33.91870163,6.141408878,-4.464923159,-9.947049824,12.25487908,1.40E+01
33.78126481,6.110920632,-4.634803052,-8.290823608,10.58495491,1.00E+01
33.64369451,6.077241763,-4.796938331,-6.615230324,8.654636628,2.10E+01
33.50600041,6.040367954,-4.951126186,-4.933606398,6.456469725,1.70E+01
33.36819496,6.000284587,-5.097555196,-3.247522603,4.011750697,2.60E+01
33.2302951,5.956959011,-5.236769667,-1.542233198,1.356630859,3.50E+01
33.09231447,5.910375229,-5.3691417,0.184674593,-1.474436085,4.40E+01
32.95426181,5.860541492,-5.495290866,1.921610117,-4.397187408,5.10E+01
32.81614377,5.807477502,-5.615677397,3.647999275,-7.334958287,6.00E+01
32.67796132,5.751229873,-5.730221331,5.320024094,-10.24203916,4.30E+01
32.53971673,5.691841908,-5.839254343,6.901001415,-13.03283739,2.60E+01
32.40141988,5.62932493,-5.943774935,8.384156257,-15.58351631,1.60E+01
32.26307779,5.563705478,-6.044773235,9.752777217,-17.75572093,7.00E+00
32.12469504,5.495023543,-6.143491339,10.98389825,-19.3703796,1.00E+01
31.98627838,5.423309549,-6.241019398,12.06305837,-20.28481787,2.90E+01
31.84783223,5.348602849,-6.337596763,12.96621074,-20.45656834,4.40E+01
31.70936337,5.270932317,-6.433435086,13.68006813,-19.86806381,4.40E+01
31.57088456,5.190299013,-6.528702608,14.21538999,-18.55062448,6.70E+01
31.43240547,5.106718521,-6.623219174,14.57240969,-16.56744191,6.40E+01
31.29393086,5.020231493,-6.716919314,14.73547331,-13.94252881,6.60E+01
31.15546635,4.930873463,-6.809315539,14.69365582,-10.76802936,5.70E+01
31.01701583,4.838686277,-6.899210495,14.43040152,-7.225882038,5.40E+01
30.8785841,4.743710101,-6.985726446,13.93492862,-3.462400698,4.40E+01
30.74018211,4.64596006,-7.068547942,13.22137128,0.416409421,4.30E+01
30.60182012,4.545456338,-7.147469389,12.30338576,4.322813808,4.80E+01
30.46350737,4.44222818,-7.222823522,11.19321746,8.249334963,4.10E+01
30.32525561,4.336292639,-7.294669858,9.914701629,12.13246219,5.70E+01
30.18707619,4.227663942,-7.361960303,8.492442325,15.7515631,5.30E+01
30.04898236,4.116349515,-7.423855336,6.96081631,18.90248236,6.60E+01
29.91099147,4.002339325,-7.479684568,5.372176844,21.37916842,7.40E+01
29.77311771,3.885639673,-7.52860955,3.767927324,22.98674487,5.00E+01
29.63536948,3.766290582,-7.570381809,2.16745928,23.67861261,5.60E+01
29.49775334,3.644342371,-7.604614371,0.584101002,23.4187958,4.70E+01
29.36027121,3.519867885,-7.630448643,-0.98632349,22.16002487,4.80E+01
29.22292432,3.392947716,-7.64748667,-2.549041047,19.94231581,5.10E+01
29.08571864,3.263643092,-7.655735936,-4.088099614,16.83614982,5.00E+01
28.94865606,3.132038608,-7.65539905,-5.60274432,12.99748669,5.60E+01
28.81173392,2.998246955,-7.647258921,-7.109622009,8.730572472,4.70E+01
28.67495205,2.862368074,-7.631764196,-8.612072287,4.27899798,5.40E+01
28.53831124,2.72449265,-7.608350785,-10.10539698,-0.264166328,5.00E+01
28.40181425,2.584702694,-7.576358324,-11.57374884,-4.824284419,5.00E+01
28.26546983,2.443049607,-7.534772805,-12.97262759,-9.424414091,5.10E+01
28.12928336,2.299603321,-7.482521061,-14.26910662,-14.04068076,4.30E+01
27.9932518,2.154483139,-7.41936409,-15.46441847,-18.40950596,4.70E+01
27.85737349,2.007800979,-7.344689196,-16.55050762,-22.31598794,4.40E+01
27.72164639,1.859669305,-7.257340984,-17.51723526,-25.60036163,2.70E+01
27.58606873,1.710202376,-7.156592931,-18.36059527,-28.07598616,2.60E+01
27.45064633,1.559476888,-7.041850528,-19.05866293,-29.69744575,2.30E+01
27.31538461,1.407573987,-6.91282456,-19.5999884,-30.41135961,3.00E+01
27.18028701,1.25458971,-6.770076571,-19.99554411,-30.08441518,4.70E+01
27.04536145,1.100596699,-6.61387785,-20.24339011,-28.70507615,6.60E+01
26.9106177,0.945655064,-6.443691261,-20.3288523,-26.3733019,6.00E+01
26.77606896,0.789809217,-6.259260909,-20.23805785,-23.26287694,5.10E+01
26.6417352,0.6330689,-6.060370333,-19.94535729,-19.70859872,4.70E+01
26.50763373,0.475459345,-5.846814351,-19.43402678,-15.98049562,3.00E+01
26.37377468,0.317048462,-5.619091643,-18.71603467,-12.12108241,3.00E+01
26.24016787,0.157906824,-5.377589701,-17.80427985,-8.1628729,2.90E+01
26.10681953,-0.001875993,-5.122359045,-16.71590791,-4.060953797,2.60E+01
25.97373745,-0.162215747,-4.853893295,-15.47696432,0.210987737,3.70E+01
25.84093932,-0.323079008,-4.572977308,-14.10484685,4.429541393,5.40E+01
25.70844071,-0.484418961,-4.280587451,-12.62868892,8.438255247,4.70E+01
25.57625439,-0.646170447,-3.978219944,-11.09663627,12.18307327,4.30E+01
25.44439624,-0.808284505,-3.667083932,-9.544396521,15.54830073,3.00E+01
25.31287997,-0.970701514,-3.347575671,-7.990680132,18.4999828,1.40E+01
25.18172157,-1.133372779,-3.019995324,-6.446455389,20.97888473,3.40E+01
25.05094336,-1.296282843,-2.684301436,-4.900628386,22.7965558,5.30E+01
24.92056443,-1.459397841,-2.340314544,-3.344758866,23.88294508,4.80E+01
24.79059892,-1.622653938,-1.988383927,-1.794819865,24.33383986,6.00E+01
24.66106136,-1.785989144,-1.628420275,-0.252665456,24.28073674,5.00E+01
24.53196366,-1.949327427,-1.259732453,1.292889449,23.9750422,3.50E+01
24.40332027,-2.112603799,-0.882035013,2.842277082,23.61919491,5.40E+01
24.27515473,-2.275800266,-0.495399585,4.395791067,23.17525954,3.70E+01
24.14749137,-2.438900941,-0.100171916,5.943057088,22.60577845,3.00E+01
24.02035597,-2.601894221,0.302512964,7.447272996,21.84200807,2.90E+01
23.89377684,-2.7647816,0.71182835,8.884083189,20.79453197,1.70E+01
23.76777901,-2.927547873,1.127984298,10.25769833,19.55171331,2.00E+01
23.64239103,-3.090194669,1.550909659,11.56588051,18.13440427,1.30E+01
23.51764715,-3.252752862,1.980416624,12.80864077,16.43964649,1.00E+01
23.3935774,-3.415228053,2.416435188,13.98859617,14.44673837,1.40E+01
23.27020641,-3.577591892,2.858246674,15.08832049,12.1509569,3.80E+01
23.14755579,-3.739797346,3.305321497,16.09837071,9.5864779,4.30E+01
23.02563934,-3.901753269,3.757649692,17.02505866,6.934110803,5.70E+01
22.90447147,-4.063368132,4.214746921,17.86338681,4.29962625,5.10E+01
22.78407399,-4.224588068,4.675716145,18.60169181,1.612939747,5.10E+01
22.66446366,-4.385328332,5.139516052,19.22621327,-1.173041342,5.10E+01
22.54565281,-4.545475051,5.604571415,19.70996319,-4.135233671,3.40E+01
22.42765562,-4.704923531,6.069544009,20.03521766,-7.337458583,4.30E+01
22.31048389,-4.863556594,6.533937085,20.20854274,-10.66885509,4.70E+01
22.19415126,-5.021265137,6.997238934,20.23841842,-14.03234256,6.00E+01
22.07867772,-5.177974173,7.459103225,20.14091795,-17.36716533,7.70E+01
21.9640777,-5.333575243,7.919262098,19.93715869,-20.5504411,6.70E+01
21.85035591,-5.487900597,8.376831963,19.63548098,-23.48797392,5.70E+01
21.73751671,-5.640779122,8.831197451,19.25480387,-26.04018097,5.60E+01
21.62556104,-5.792019637,9.282192864,18.82938417,-27.95907784,4.70E+01
21.51449183,-5.94143904,9.729275824,18.38269343,-29.07256643,5.70E+01
21.404324,-6.088919434,10.17168243,17.9279795,-29.33298287,5.70E+01
21.29507303,-6.234343601,10.60841002,17.47099424,-28.73037172,6.10E+01
21.18675527,-6.377595045,11.0377913,16.99687383,-27.36641712,6.60E+01
21.07939182,-6.518582793,11.45833203,16.49503715,-25.34270865,5.30E+01
20.97300176,-6.657204263,11.86916663,15.97601603,-22.63198673,5.60E+01
20.86761033,-6.793389122,12.26916496,15.43952733,-19.2870529,5.30E+01
20.76325302,-6.927123013,12.65708593,14.87740831,-15.44372516,4.40E+01
20.65995932,-7.05835512,13.03172924,14.28851327,-11.2007222,4.70E+01
20.55774845,-7.186972151,13.39144282,13.66724579,-6.68930919,6.30E+01
20.45663644,-7.312840477,13.734689,13.01630606,-2.01274563,5.30E+01
20.35662921,-7.43576719,14.06027173,12.35827625,2.831964814,5.40E+01
20.25773574,-7.555573759,14.36665778,11.70514264,7.764206861,5.60E+01
20.15998173,-7.672174012,14.65199936,11.04898104,12.55362686,3.40E+01
20.06338776,-7.785449993,14.91436957,10.38535248,16.97144787,3.80E+01
19.96796985,-7.895254059,15.15151616,9.705476968,20.74232477,3.80E+01
19.8737476,-8.001469428,15.3614571,9.000713814,23.62477135,3.80E+01
19.78073363,-8.103959957,15.54298746,8.280249926,25.56596881,4.80E+01
19.68894395,-8.202620437,15.69504958,7.548541832,26.52685917,4.80E+01
19.59840455,-8.297421268,15.81689653,6.801568119,26.48449645,4.10E+01
19.50913403,-8.388300183,15.90804048,6.043783615,25.49644536,5.10E+01
19.42114144,-8.475137035,15.96773063,5.281559138,23.59890836,5.30E+01
19.33443492,-8.557827464,15.99570511,4.525149454,20.9285867,6.10E+01
19.24901577,-8.636252484,15.99237204,3.796937643,17.786327,6.60E+01
19.16488814,-8.710307498,15.95790851,3.111529081,14.39818011,4.70E+01
19.08207014,-8.77996546,15.89222447,2.466192733,10.85526378,5.10E+01
19.00057906,-8.845196007,15.79514817,1.856061868,7.219079974,4.30E+01
18.92043264,-8.905959227,15.66599462,1.267843704,3.420869667,4.80E+01
18.84165111,-8.962250948,15.50449339,0.686855672,-0.544436325,6.00E+01
18.76424722,-9.01406954,15.3114934,0.112301531,-4.418858577,6.90E+01
18.68823765,-9.061440914,15.08776927,-0.464475843,-7.996950895,4.40E+01
18.61364681,-9.104445381,14.83414457,-1.062303649,-11.11680833,4.70E+01
18.54049296,-9.143132914,14.55157871,-1.69202315,-13.59054328,4.30E+01
18.46878865,-9.177491401,14.24035369,-2.360690634,-15.39468826,5.40E+01
18.39854289,-9.2074949,13.90091711,-3.069205647,-16.48895361,4.30E+01
18.32975471,-9.233071095,13.53411578,-3.802159933,-16.74168478,3.50E+01
18.26242493,-9.25414686,13.14042171,-4.548842201,-16.14857661,5.00E+01
18.19656439,-9.27071193,12.72016202,-5.313787696,-14.8099284,3.80E+01
18.13217904,-9.282716819,12.2734496,-6.094837337,-12.89963622,4.40E+01
18.06927146,-9.290066638,11.79979817,-6.886966162,-10.76128194,5.10E+01
18.00784549,-9.292703506,11.29922201,-7.687997649,-8.665390073,4.10E+01
17.94789901,-9.290588589,10.77283906,-8.488154633,-6.64404837,5.40E+01
17.88943167,-9.283713742,10.22202665,-9.282561476,-4.717405612,5.30E+01
17.83244924,-9.272148894,9.648796852,-10.07778399,-2.82076383,5.60E+01
17.77695169,-9.25593379,9.055234187,-10.87267149,-0.904220097,5.70E+01
17.72293197,-9.235020464,8.442493974,-11.65587289,0.829378909,5.70E+01
17.67038202,-9.209386191,7.812256882,-12.41639778,2.251330516,5.40E+01
17.61928897,-9.179013083,7.166840434,-13.13766215,3.343453175,5.10E+01
17.56964255,-9.143876881,6.508088489,-13.80546394,4.024312659,4.00E+01
17.52144361,-9.104016107,5.837723053,-14.4192524,4.293116531,3.50E+01
17.4746936,-9.059451892,5.157063464,-14.9771788,4.123433555,3.70E+01
17.42939607,-9.010161323,4.466363807,-15.47628523,3.354343507,4.30E+01
17.38555809,-8.956163448,3.766233506,-15.91854397,1.947251909,6.40E+01
17.34318313,-8.89750951,3.058265022,-16.30341106,0.039416015,5.60E+01
17.30228035,-8.834264103,2.343656431,-16.63534018,-2.198212235,6.30E+01
17.26286783,-8.766539779,1.623498817,-16.92852266,-4.475892661,5.30E+01
17.22495916,-8.694428094,0.898940126,-17.1914783,-6.544091816,3.80E+01
17.18856182,-8.617949632,0.170407179,-17.42335574,-8.385993281,4.10E+01
17.15368125,-8.537126732,-0.561468782,-17.62109749,-9.974856839,2.70E+01
17.12031481,-8.451966767,-1.295514067,-17.77328833,-11.29959283,3.50E+01
17.08846391,-8.362470291,-2.031137804,-17.87051623,-12.36867279,4.40E+01
17.05814442,-8.268689698,-2.768324834,-17.9168132,-13.01994879,4.30E+01
17.02936949,-8.17065373,-3.507239555,-17.91157721,-13.14926025,4.80E+01
17.00215076,-8.068352234,-4.248637512,-17.84970979,-12.76894255,4.40E+01
16.97650113,-7.961812668,-4.992826444,-17.73034539,-11.83664087,3.50E+01
16.95242408,-7.85109175,-5.738768013,-17.54949187,-10.33609214,4.10E+01
16.92992439,-7.736272789,-6.485195193,-17.30702284,-8.245958704,4.10E+01
16.90901203,-7.617504726,-7.230329517,-17.01294141,-5.451784247,6.00E+01
16.88969041,-7.494926868,-7.971999542,-16.67226727,-1.932647197,5.60E+01
16.87195833,-7.368623539,-8.708591101,-16.28163068,2.170280375,4.30E+01
16.85581097,-7.23871192,-9.437688909,-15.83924501,6.687858816,4.70E+01
16.84123462,-7.105330567,-10.15576202,-15.34056352,11.36767533,5.40E+01
16.82822018,-6.96861152,-10.8598806,-14.78230235,15.97242914,6.90E+01
16.81677172,-6.828720273,-11.54784473,-14.1709917,20.43532444,7.80E+01
16.80689456,-6.685810643,-12.21782049,-13.51180688,24.67410973,8.80E+01
16.79859948,-6.539997778,-12.86917065,-12.80769351,28.60043241,6.10E+01
16.79189709,-6.391433591,-13.50071684,-12.06531405,32.13453181,4.30E+01
16.78678516,-6.240318717,-14.10938944,-11.29031466,35.06250605,3.70E+01
16.7832663,-6.086858693,-14.69255415,-10.49078793,37.20196049,1.60E+01
16.78134984,-5.931286918,-15.24781163,-9.680800781,38.44960665,2.60E+01
16.78103967,-5.773818272,-15.77260409,-8.870778222,38.68087378,3.70E+01
16.78233977,-5.614591528,-16.26563244,-8.064712208,37.83013464,4.40E+01
16.78525026,-5.453738037,-16.7254005,-7.265286699,35.8535668,5.00E+01
16.78976018,-5.291373633,-17.14967259,-6.470272213,32.67756984,5.10E+01
16.79586325,-5.127585124,-17.53715419,-5.67735882,28.31708782,5.40E+01
16.80356377,-4.962476142,-17.8873164,-4.890611734,22.89835641,5.40E+01
16.81286346,-4.79610682,-18.20011341,-4.110270445,16.61423521,6.40E+01
16.82376536,-4.628470888,-18.47669999,-3.332309023,9.772302137,7.70E+01
16.83627159,-4.459590003,-18.71778096,-2.555309565,2.652317742,6.00E+01
16.85037347,-4.289529614,-18.92246549,-1.777706315,-4.619076723,7.00E+01
16.86606351,-4.118365555,-19.08988474,-0.999883125,-11.91474353,4.30E+01
16.88333734,-3.946225652,-19.2187321,-0.228308759,-19.14938099,2.90E+01
16.90218558,-3.773205496,-19.30779274,0.534023783,-26.20539809,5.10E+01
16.92259819,-3.599291631,-19.35750506,1.291677851,-32.75912602,3.70E+01
16.94456217,-3.424485776,-19.36787227,2.048121995,-38.51756633,5.00E+01
16.96805736,-3.248797613,-19.33818314,2.807875878,-43.24365043,3.70E+01
16.99306772,-3.072220512,-19.26842943,3.575298122,-46.69181426,2.40E+01
17.01958605,-2.894807343,-19.15859438,4.348018958,-48.76024836,3.50E+01
17.04760662,-2.716594834,-19.00912267,5.124564455,-49.37131137,2.70E+01
17.07712932,-2.537574197,-18.82174085,5.905598839,-48.41957616,3.80E+01
17.10815454,-2.357777258,-18.5976872,6.688428991,-45.92448565,4.40E+01
17.14067483,-2.177265168,-18.33710819,7.469641188,-42.00793936,3.40E+01
