Delta,Theta,Alpha,Beta,Gamma,Attention
47.54547674,-2.915232053,-5.067157549,6.558291337,8.925239912,5.60E+01
47.5291529,-2.900417364,-5.288248092,6.707293471,8.765452209,4.00E+01
47.51210159,-2.884627644,-5.505527857,6.847518411,8.336856042,4.70E+01
47.49431357,-2.867848927,-5.718393408,6.978351655,7.64226926,4.70E+01
47.47577713,-2.850061067,-5.926053213,7.098210842,6.715426149,4.40E+01
47.45647637,-2.831233472,-6.12739308,7.203940181,5.63475667,4.40E+01
47.43639784,-2.811341704,-6.32146444,7.293347101,4.457734167,4.30E+01
47.41553226,-2.79037191,-6.507655099,7.365735958,3.217659366,4.00E+01
47.39387164,-2.768313467,-6.685428883,7.420951186,1.937638009,4.30E+01
47.37141207,-2.745166006,-6.854522454,7.460492548,0.599363754,4.70E+01
47.3481484,-2.720926113,-7.014583336,7.48534713,-0.792084157,4.80E+01
47.32406871,-2.695573496,-7.164743968,7.493922416,-2.158487166,4.40E+01
47.29916316,-2.669093087,-7.304283318,7.485420116,-3.433475755,4.70E+01
47.27342376,-2.641474593,-7.432629295,7.45970389,-4.554445204,4.80E+01
47.24684118,-2.612704512,-7.549125055,7.416060164,-5.456224981,4.70E+01
47.21940904,-2.582777137,-7.653370633,7.354828208,-6.128754814,5.70E+01
47.19111975,-2.551683935,-7.744908632,7.275763533,-6.5584367,5.70E+01
47.1619618,-2.519406922,-7.823034058,7.176992471,-6.711929097,7.00E+01
47.13192678,-2.485936142,-7.887302244,7.057745279,-6.59129286,7.40E+01
47.10101017,-2.451271394,-7.937566899,6.91867781,-6.218527151,6.70E+01
47.069208,-2.415414247,-7.973778363,6.760498434,-5.640530523,7.00E+01
47.03651927,-2.378374105,-7.996170624,6.584875504,-4.956667172,5.70E+01
47.00294183,-2.340157651,-8.004891609,6.393027582,-4.242686411,5.30E+01
46.96846791,-2.300757518,-7.999651265,6.1840352,-3.509091737,4.10E+01
46.93309009,-2.260167414,-7.98019187,5.957089378,-2.760820121,2.70E+01
46.89680071,-2.218380421,-7.946210704,5.711335004,-1.971760295,2.90E+01
46.85959128,-2.175387953,-7.897399429,5.445433865,-1.124216887,3.00E+01
46.82145674,-2.13119069,-7.833832652,5.159002283,-0.279283206,3.70E+01
46.78239049,-2.08578569,-7.755485112,4.851011665,0.523663252,3.00E+01
46.74238291,-2.039162721,-7.66212993,4.519191594,1.274164384,2.60E+01
46.70142691,-1.99131804,-7.553741444,4.162200381,1.942846017,2.00E+01
46.65951755,-1.942252851,-7.430367137,3.779719072,2.527782063,2.00E+01
46.61665135,-1.891972209,-7.292177163,3.371950177,3.016805599,3.50E+01
46.57282901,-1.840491721,-7.139676844,2.940608138,3.355287149,4.80E+01
46.52805042,-1.787824979,-6.973277697,2.487182572,3.524390688,6.30E+01
46.4823115,-1.73397583,-6.793104865,2.01158227,3.554056744,6.10E+01
46.43561007,-1.678952803,-6.599388209,1.514539758,3.482862927,5.40E+01
46.38794515,-1.622767034,-6.392363314,0.997439709,3.384569131,5.10E+01
46.3393155,-1.565429637,-6.172336742,0.461318284,3.318321078,5.70E+01
46.28972276,-1.506959733,-5.939988378,-0.092146397,3.271976845,6.90E+01
46.23916804,-1.447375587,-5.696021834,-0.661664298,3.234569908,8.00E+01
46.18765035,-1.386691007,-5.441114395,-1.247130024,3.187711533,6.70E+01
46.13517108,-1.324925895,-5.176128207,-1.847552049,3.104967686,6.90E+01
46.08173414,-1.262105678,-4.90196058,-2.460592199,3.008484534,7.70E+01
