Delta,Theta,Alpha,Beta,Gamma,Attention
41.50352353,-0.012529299,2.770747528,0.008811319,18.47571516,3.80E+01
41.46120057,-0.055934202,2.738694198,0.189735298,16.77554742,6.00E+01
41.41887481,-0.099142741,2.703906244,0.371847852,14.33418884,5.60E+01
41.37654933,-0.142132884,2.666397785,0.554102513,11.20232351,5.30E+01
41.33422896,-0.184891807,2.626234647,0.736194469,7.501520263,4.70E+01
41.29192163,-0.227421044,2.583584317,0.918978389,3.463203396,4.00E+01
41.24963343,-0.26971272,2.538556312,1.102437238,-0.724312275,3.40E+01
41.20736727,-0.311745287,2.491130815,1.285371406,-4.959358566,4.30E+01
41.16512513,-0.353491411,2.441262489,1.46600412,-9.155789761,4.40E+01
41.122906,-0.394907189,2.388821041,1.641041412,-13.30737225,4.10E+01
41.08070971,-0.435953769,2.333692374,1.807567875,-17.3599712,4.80E+01
41.03854105,-0.476616807,2.275921623,1.96468489,-21.07716749,4.00E+01
40.99640323,-0.516874229,2.215498789,2.11075789,-24.25113083,5.40E+01
40.95429805,-0.556697894,2.152350706,2.243579788,-26.69734864,7.70E+01
40.9122285,-0.596066299,2.086460044,2.361627864,-28.22886873,9.00E+01
40.87019578,-0.634949825,2.017783532,2.462948037,-28.80001821,7.80E+01
40.82820225,-0.673326132,1.9463248,2.546371873,-28.37216716,7.80E+01
40.78625349,-0.71119074,1.872214018,2.612510927,-26.8737039,5.70E+01
40.74435297,-0.748529894,1.795521343,2.661302372,-24.33301577,5.60E+01
40.70250125,-0.785316366,1.716205636,2.691457947,-20.84190177,6.00E+01
40.66069888,-0.821524991,1.634247674,2.702160055,-16.57469265,4.40E+01
40.61894469,-0.857124247,1.549598684,2.692388825,-11.85809819,4.80E+01
40.5772383,-0.892087202,1.462230153,2.661436506,-6.960597102,4.30E+01
40.53558347,-0.926407552,1.372248685,2.610246898,-1.97664981,4.80E+01
40.49398375,-0.960078498,1.279751489,2.539682408,3.011965773,4.30E+01
40.45244262,-0.993092911,1.184815125,2.450319752,8.009456157,4.70E+01
40.41096457,-1.025451097,1.087570646,2.343654279,12.98037903,4.40E+01
40.36955241,-1.057149674,0.988139049,2.221554461,17.64466525,4.40E+01
40.3282102,-1.088192568,0.886683013,2.086522621,21.77314839,5.40E+01
40.2869444,-1.118597307,0.783453864,1.942309771,25.20430536,4.80E+01
40.2457597,-1.148373118,0.678649629,1.791944375,27.74682694,5.40E+01
40.20465873,-1.17751597,0.57237135,1.636729587,29.34724545,6.40E+01
40.16364318,-1.206017561,0.464696299,1.477601737,29.9490404,6.60E+01
40.1227119,-1.233856117,0.355622497,1.314414503,29.41607588,6.90E+01
40.08186412,-1.261011041,0.245149042,1.146828726,27.74019348,7.40E+01
40.04110216,-1.287478277,0.133377575,0.975906206,25.03821271,6.30E+01
40.0004267,-1.313244479,0.020348812,0.801600545,21.50624178,6.30E+01
39.95983715,-1.338286915,-0.093963492,0.62249018,17.50816858,6.00E+01
39.91933362,-1.362590388,-0.209537895,0.438195397,13.34403669,4.70E+01
39.87891509,-1.386140394,-0.326345592,0.249187739,9.076566836,4.70E+01
39.83858127,-1.40892929,-0.444318518,0.056758106,4.75968958,5.30E+01
39.79833419,-1.430967003,-0.563280083,-0.135680247,0.369883147,6.00E+01
39.7581742,-1.452255406,-0.683106564,-0.325494291,-4.093994687,6.60E+01
39.718099,-1.472777335,-0.803800344,-0.512656006,-8.367083381,6.00E+01
39.67810636,-1.492520074,-0.925337681,-0.696367325,-12.25138145,5.40E+01
39.63819298,-1.511469717,-1.047703284,-0.875519988,-15.6534541,4.40E+01
39.59835613,-1.529612393,-1.170876756,-1.049524826,-18.4239691,4.10E+01
39.55859636,-1.546950626,-1.294721341,-1.216537856,-20.51801857,4.40E+01
39.51891419,-1.563483874,-1.419112194,-1.375501933,-21.87482115,4.70E+01
39.47931015,-1.579204153,-1.543961058,-1.527126608,-22.31401993,5.70E+01
39.43978606,-1.594112801,-1.669114692,-1.671109236,-21.78878536,6.10E+01
39.40034329,-1.608215697,-1.794393714,-1.806016343,-20.42344555,7.00E+01
39.3609847,-1.621523468,-1.919575652,-1.930508899,-18.3994514,6.70E+01
39.32171577,-1.63405927,-2.044343235,-2.042392994,-16.04728673,6.90E+01
39.28254073,-1.645840602,-2.168417973,-2.140074836,-13.64032265,7.00E+01
39.24346156,-1.656869388,-2.291624415,-2.224128538,-11.18991497,6.90E+01
39.20447981,-1.667147157,-2.413790597,-2.295131328,-8.70506393,7.40E+01
39.16559495,-1.676669552,-2.534792289,-2.353841319,-6.144622113,6.90E+01
39.12680736,-1.68543248,-2.654490752,-2.401713839,-3.462716471,6.10E+01
39.08812141,-1.693447045,-2.772620656,-2.439619212,-0.84461806,4.40E+01
39.04954054,-1.700718858,-2.888950336,-2.469261788,1.596695717,4.10E+01
39.01106746,-1.707245638,-3.003293621,-2.493773104,3.875570914,3.80E+01
38.97270555,-1.713033024,-3.115416635,-2.515305942,5.931608267,3.50E+01
38.93445634,-1.718089229,-3.225098482,-2.534597501,7.744321611,5.30E+01
38.89632192,-1.722428376,-3.332083185,-2.551784178,9.265977456,5.10E+01
38.85830637,-1.726079447,-3.43602112,-2.565334594,10.30792672,5.60E+01
38.82041209,-1.729067481,-3.536601898,-2.57383673,10.79249412,7.00E+01
38.78263981,-1.731405382,-3.633591371,-2.577679664,10.83259604,6.30E+01
38.74498976,-1.733111515,-3.726738159,-2.57612312,10.55880535,5.70E+01
38.70746033,-1.734205653,-3.815811038,-2.567337615,10.19453748,6.10E+01
38.6700509,-1.73470794,-3.900558508,-2.550290982,9.929415475,5.40E+01
38.63276436,-1.734649536,-3.980624386,-2.523979615,9.722636851,5.40E+01
38.59560379,-1.734059811,-4.055653476,-2.488159745,9.541661303,5.30E+01
38.55857311,-1.732962399,-4.125297141,-2.444565674,9.351655846,4.40E+01
38.52167664,-1.731388306,-4.18916767,-2.393938365,9.082486048,5.10E+01
38.48491619,-1.729374197,-4.246891957,-2.334743067,8.800436046,6.30E+01
38.44829477,-1.726959427,-4.298063349,-2.26590268,8.511950414,5.70E+01
38.41181729,-1.724191187,-4.342209113,-2.186146464,8.099827821,5.40E+01
38.37548722,-1.721110903,-4.378923457,-2.09416322,7.521836965,5.00E+01
38.33930723,-1.717744259,-4.407913609,-1.990519596,6.773226964,3.40E+01
38.30327905,-1.7141138,-4.428938698,-1.875380558,5.877193627,3.80E+01
38.26740165,-1.710234777,-4.441866852,-1.748002145,4.980574781,4.40E+01
38.23167482,-1.706117871,-4.446590419,-1.608691518,4.167795403,4.40E+01
38.19610104,-1.701780644,-4.44292613,-1.458241865,3.356154196,6.10E+01
38.16068176,-1.697230443,-4.430788226,-1.297973857,2.485979471,6.90E+01
38.12541805,-1.692460998,-4.410196617,-1.130651669,1.481800624,6.30E+01
38.09031109,-1.687471427,-4.381147458,-0.958296452,0.268081249,5.70E+01
38.05535998,-1.68226628,-4.343647897,-0.780994519,-1.089370977,5.00E+01
38.02056423,-1.676852595,-4.297693218,-0.598708311,-2.542958101,3.80E+01
37.98592466,-1.671249287,-4.243190989,-0.410607874,-4.092393056,2.40E+01
37.95144057,-1.665466537,-4.180148979,-0.215844255,-5.684036548,2.30E+01
37.91711003,-1.65949097,-4.108773559,-0.015360542,-7.279066865,2.90E+01
37.88293056,-1.653311197,-4.029283397,0.190631344,-8.808652454,2.60E+01
37.84889813,-1.646914837,-3.941948432,0.402933535,-10.11731153,3.40E+01
37.81500951,-1.640287472,-3.847042805,0.621460317,-11.10055566,3.00E+01
37.78126416,-1.633430487,-3.744680928,0.845903948,-11.74394913,2.30E+01
37.74766178,-1.626342379,-3.634997372,1.075307427,-12.04793183,3.50E+01
37.7142029,-1.619014006,-3.51816273,1.306978932,-12.07865514,3.80E+01
37.68088862,-1.611444981,-3.394285435,1.538786962,-11.89644046,3.80E+01
37.6477185,-1.603638184,-3.263499243,1.770143934,-11.4617275,4.40E+01
37.6146935,-1.595602085,-3.125873338,1.999883605,-10.77848565,4.10E+01
37.58181658,-1.58735913,-2.981341266,2.226762567,-9.897576252,3.80E+01
37.54908932,-1.578921345,-2.829957391,2.449549054,-8.842198421,4.80E+01
37.51651197,-1.570277466,-2.671990296,2.665715724,-7.663652789,4.30E+01
37.48408389,-1.561411102,-2.507783423,2.873016533,-6.393032263,4.30E+01
37.45180195,-1.55229227,-2.337857824,3.069952011,-4.991438297,4.40E+01
37.41966395,-1.542890355,-2.162728525,3.254203995,-3.466563851,3.50E+01
37.387671,-1.533196171,-1.982682662,3.422877853,-1.901904718,2.90E+01
37.35582329,-1.523189724,-1.798125009,3.572811233,-0.376971636,2.30E+01
