Delta,Theta,Alpha,Beta,Gamma,Attention
37.32412046,-1.512837956,-1.609582033,3.699947935,0.999933067,3.70E+01
37.29256266,-1.502119309,-1.417489526,3.800927643,2.134139808,3.50E+01
37.26114809,-1.491015978,-1.222303566,3.874209945,3.02179551,3.50E+01
37.22987564,-1.479520297,-1.024392517,3.918614402,3.655913145,4.30E+01
37.19874599,-1.467649479,-0.823895559,3.933801589,4.025507757,4.00E+01
37.16775834,-1.455414004,-0.621046614,3.919955175,4.153444886,4.30E+01
37.13691038,-1.442803663,-0.416285425,3.876467963,4.04666966,5.40E+01
37.10619947,-1.429818347,-0.209985362,3.803882066,3.748374983,5.10E+01
37.07562139,-1.416461719,-0.002529856,3.704267528,3.369142,4.30E+01
37.04517262,-1.402737206,0.205698599,3.579107831,2.985470574,5.30E+01
37.01485234,-1.388665143,0.414495463,3.429329667,2.617582642,4.80E+01
36.98465966,-1.374262406,0.623614531,3.255596411,2.27389723,4.40E+01
36.95459404,-1.359534744,0.832713722,3.05725906,1.909543737,5.10E+01
36.92465533,-1.344502278,1.041566208,2.834642314,1.50027353,3.80E+01
36.89484163,-1.329199845,1.250025787,2.59065614,1.119391061,3.40E+01
36.86515188,-1.313667469,1.457994177,2.327993642,0.81607207,4.00E+01
36.83558653,-1.297959556,1.665508754,2.049467549,0.618456675,4.30E+01
36.8061448,-1.282121762,1.872493611,1.758145233,0.569702893,4.10E+01
36.77682504,-1.266170412,2.078587428,1.455415742,0.661854289,4.10E+01
36.74762485,-1.250117963,2.28336347,1.143023709,0.898738348,4.30E+01
36.71853976,-1.233966824,2.486250447,0.823601093,1.328437348,3.50E+01
36.6895658,-1.217711602,2.686601804,0.49884714,1.955257315,4.10E+01
36.66070099,-1.201360535,2.883910065,0.170097668,2.73984626,4.80E+01
36.63194245,-1.184904989,3.077485176,-0.161870686,3.626649817,3.50E+01
36.6032868,-1.168312196,3.266399216,-0.497752511,4.509764418,3.40E+01
36.5747309,-1.151564572,3.449845432,-0.837134553,5.303876718,3.40E+01
36.54627037,-1.13466309,3.627141846,-1.177110132,6.0033709,3.50E+01
36.51790128,-1.117618537,3.79768444,-1.514244489,6.601815425,4.70E+01
36.48962092,-1.100470453,3.96112897,-1.843695561,7.10910018,4.10E+01
36.46142551,-1.083247671,4.116998385,-2.160529253,7.537754974,5.10E+01
36.43331005,-1.065937251,4.264404389,-2.462046458,7.832673561,4.40E+01
36.40526938,-1.048537869,4.402540444,-2.744408095,7.961440444,4.70E+01
36.37729742,-1.031055418,4.530628396,-3.002382114,7.93055624,5.30E+01
36.34938876,-1.013487885,4.64788622,-3.232068721,7.725647433,5.60E+01
36.32154025,-0.995853383,4.753861377,-3.430196476,7.345392433,5.30E+01
36.29374902,-0.978160422,4.848086597,-3.594691989,6.782381512,4.00E+01
36.26601275,-0.960392591,4.929985133,-3.726290474,5.989940018,6.10E+01
36.23832993,-0.942551018,4.999203688,-3.82515087,4.954579262,4.30E+01
36.2106984,-0.924656349,5.055530818,-3.889259881,3.718605445,2.40E+01
36.18311729,-0.906731143,5.098912408,-3.917902375,2.33061863,3.40E+01
36.15558759,-0.888814907,5.129614245,-3.91103524,0.867128654,2.40E+01
36.12810957,-0.87093807,5.147794226,-3.868606157,-0.601285792,4.40E+01
36.10068247,-0.85309596,5.15326069,-3.792343214,-2.064305882,4.30E+01
36.07330525,-0.835284286,5.145823969,-3.683665538,-3.505322838,3.80E+01
36.04597542,-0.817494733,5.125158663,-3.542747036,-4.903462889,3.00E+01
36.01869146,-0.799711825,5.091011736,-3.371517667,-6.244283704,2.90E+01
35.99145491,-0.781937737,5.043600166,-3.173940954,-7.473102102,4.00E+01
35.96426696,-0.764162897,4.983053779,-2.954615957,-8.546874057,4.80E+01
35.9371287,-0.746357201,4.909371155,-2.719792489,-9.45181108,5.10E+01
35.91004168,-0.728505191,4.822711481,-2.474924814,-10.16160304,6.00E+01
35.88300576,-0.710605375,4.723153687,-2.222202852,-10.65603423,5.30E+01
35.8560213,-0.692664762,4.610890672,-1.963552424,-10.91703961,5.70E+01
35.82908993,-0.674715612,4.486419427,-1.700049338,-10.90876972,6.10E+01
35.80221219,-0.656784749,4.350099162,-1.431923439,-10.61838661,4.40E+01
35.77538797,-0.638872039,4.202061715,-1.160940156,-10.07168865,4.30E+01
35.7486167,-0.620989738,4.04246944,-0.887093978,-9.305131557,3.40E+01
35.7218963,-0.603158658,3.871374891,-0.607707399,-8.378686505,2.60E+01
35.69522587,-0.585393694,3.688966439,-0.32205131,-7.346746775,2.60E+01
35.6686074,-0.567720984,3.495886456,-0.031927126,-6.219346943,1.70E+01
35.64204342,-0.550159351,3.292834931,0.259559428,-5.007846278,2.10E+01
35.61553782,-0.532707759,3.080602635,0.545819855,-3.719516418,4.00E+00
35.58909476,-0.51537883,2.860117276,0.82124017,-2.362761989,2.00E+01
35.56271621,-0.498204997,2.632159257,1.084881587,-0.988397666,3.80E+01
35.5364054,-0.481217975,2.397697695,1.33419697,0.361954412,4.70E+01
35.51016723,-0.464458704,2.15799586,1.565462571,1.666304149,6.30E+01
35.48400537,-0.447962918,1.914109672,1.776355443,2.892294652,6.00E+01
35.45792296,-0.431739317,1.666824491,1.963215704,4.020969218,5.60E+01
35.43192216,-0.415796888,1.416773057,2.124027036,5.032191891,5.30E+01
35.40600247,-0.400144244,1.164194804,2.260569513,5.887408654,6.90E+01
35.38016421,-0.384779526,0.909362807,2.372957192,6.569800996,6.90E+01
35.35441016,-0.36970515,0.652932701,2.458639391,7.09275071,8.80E+01
35.32874208,-0.354911569,0.395303632,2.515831341,7.480088053,8.40E+01
35.3031613,-0.340368273,0.136643158,2.541918503,7.780576369,7.40E+01
35.27766938,-0.326054639,-0.122771942,2.535086565,8.031307266,7.40E+01
35.25226613,-0.311966785,-0.382766052,2.497372203,8.22056383,6.30E+01
35.22695191,-0.298104106,-0.64305813,2.43065889,8.333201716,8.00E+01
35.2017285,-0.284481959,-0.903022992,2.336447275,8.341492766,8.00E+01
35.1765962,-0.27110865,-1.16231954,2.218040626,8.216220038,6.70E+01
35.15155374,-0.257961588,-1.421120122,2.078908642,7.970713776,7.50E+01
35.12659941,-0.245025053,-1.679603476,1.923955825,7.602792925,4.00E+01
35.10173011,-0.232289223,-1.938113197,1.760836244,7.085238172,2.70E+01
35.07694374,-0.219737482,-2.196872135,1.595517396,6.410490033,2.70E+01
35.05224156,-0.207365837,-2.455444787,1.430529943,5.573764036,1.70E+01
35.02762527,-0.195164212,-2.713344639,1.267505543,4.582931364,2.90E+01
35.00309771,-0.183105604,-2.970022273,1.105453632,3.483680146,5.10E+01
34.97866272,-0.171174558,-3.224653246,0.943177727,2.3055063,5.60E+01
34.95432281,-0.159368682,-3.476501083,0.78267687,1.039249227,5.70E+01
34.93008244,-0.147687223,-3.72447616,0.623633478,-0.315867131,6.60E+01
34.90594878,-0.136141358,-3.966914322,0.463047103,-1.765238826,5.10E+01
34.88192751,-0.124734704,-4.202462027,0.299910541,-3.308929351,4.10E+01
34.85802243,-0.113444636,-4.43031287,0.134410658,-4.904087243,4.00E+01
34.83423642,-0.10224727,-4.649819531,-0.031626569,-6.509299552,5.60E+01
34.81056947,-0.091113533,-4.860871108,-0.192085786,-8.090262012,5.00E+01
34.78702282,-0.080009755,-5.063169772,-0.342622807,-9.593878116,5.60E+01
34.76360232,-0.068917205,-5.255484209,-0.484073317,-10.96749549,6.00E+01
34.74031271,-0.05780794,-5.436843984,-0.615903124,-12.14453581,4.00E+01
34.71715808,-0.046639062,-5.606512509,-0.737293236,-13.02911105,4.40E+01
34.69414311,-0.035379464,-5.763594805,-0.848268735,-13.54945031,5.00E+01
34.67126981,-0.024008254,-5.907660365,-0.945991064,-13.67930252,5.00E+01
34.64854087,-0.012512642,-6.038143934,-1.029097994,-13.40855356,6.10E+01
34.62596114,-0.000901393,-6.154004655,-1.099448802,-12.7646798,5.60E+01
34.60353334,0.010820497,-6.254649074,-1.156884441,-11.78199859,5.10E+01
34.58125827,0.022668042,-6.339987783,-1.199371041,-10.46020185,5.00E+01
34.55913591,0.034645206,-6.410070765,-1.224822128,-8.832718643,4.80E+01
34.53716376,0.046748355,-6.465425238,-1.229179728,-6.970927949,4.70E+01
34.51534039,0.05897625,-6.506407208,-1.209748012,-4.930883685,5.40E+01
34.49366825,0.071315801,-6.532583705,-1.168164915,-2.766423101,5.60E+01
34.47214975,0.0837575,-6.543564306,-1.106202531,-0.520858078,6.00E+01
34.45078817,0.096304791,-6.538870063,-1.026381517,1.803836985,7.80E+01
34.42958694,0.108947466,-6.517972146,-0.932380439,4.173764846,8.10E+01
34.40854626,0.121657283,-6.480954878,-0.826193495,6.484577629,8.70E+01
34.38766749,0.134403002,-6.427698424,-0.711539007,8.635578917,7.50E+01
34.36695389,0.147142092,-6.357693388,-0.594906126,10.51506431,6.10E+01
34.34640715,0.159836849,-6.270780375,-0.480911488,12.0207288,6.00E+01
34.32602849,0.172474319,-6.166972522,-0.371930372,13.12595477,5.30E+01
34.30581817,0.185041977,-6.046493027,-0.269162365,13.80891596,5.40E+01
34.28577353,0.197530361,-5.910155577,-0.170455728,14.0476967,4.70E+01
34.26589296,0.209937273,-5.758613233,-0.074185047,13.85826604,4.40E+01
34.2461776,0.222251258,-5.591978662,0.017656127,13.25904859,4.00E+01
34.22662775,0.234472694,-5.410571772,0.105038862,12.31008411,4.80E+01
34.2072438,0.24662144,-5.214764418,0.189600143,11.14196795,5.70E+01
34.18802586,0.258703552,-5.004986149,0.271615802,9.853040274,5.40E+01
34.16897125,0.270705634,-4.78222684,0.351793599,8.473793178,5.30E+01
34.1500775,0.282605903,-4.547462053,0.429406876,7.022338014,5.40E+01
34.13134291,0.294359226,-4.301514631,0.500153521,5.46326894,4.40E+01
34.11276438,0.305926369,-4.045528492,0.561569252,3.784664831,4.40E+01
34.09433841,0.317300351,-3.780802897,0.614957632,2.08858306,4.00E+01
34.07606067,0.328462702,-3.508820147,0.660902979,0.451825125,3.40E+01
34.05792495,0.339385678,-3.231466704,0.70057898,-1.074001834,4.40E+01
34.03992638,0.350050372,-2.950361903,0.735307069,-2.420062977,5.30E+01
34.02206312,0.360427423,-2.66648504,0.763384817,-3.577501711,5.30E+01
34.00433409,0.370497159,-2.380659033,0.784059249,-4.526047559,5.60E+01
33.98674025,0.380264297,-2.09330843,0.798363693,-5.196844267,6.00E+01
33.96928307,0.38972077,-1.804739632,0.805802189,-5.574184509,5.30E+01
33.95196198,0.398839164,-1.515688068,0.805321071,-5.69542505,7.80E+01
33.93477843,0.40759529,-1.226456242,0.795332128,-5.621708435,8.10E+01
33.91773633,0.41595704,-0.936809941,0.772207242,-5.478590387,7.50E+01
33.90083854,0.423896938,-0.646767351,0.733678875,-5.362275783,8.40E+01
33.8840875,0.431413378,-0.356500691,0.680695826,-5.264158924,7.40E+01
33.86748503,0.438502666,-0.066337526,0.614552974,-5.17156931,7.40E+01
33.85103039,0.445158125,0.222816396,0.537891639,-5.042913529,7.50E+01
33.83472475,0.451383066,0.51044847,0.453770657,-4.83461828,6.60E+01
33.81857369,0.45717784,0.797031429,0.363019588,-4.596449297,6.40E+01
33.80258248,0.462551152,1.082947099,0.267898607,-4.345158893,4.40E+01
33.78675696,0.467528775,1.368658292,0.172602373,-4.045157523,3.50E+01
33.77110284,0.472124357,1.654581886,0.079933692,-3.695834095,2.70E+01
33.75562193,0.476330351,1.940231573,-0.008139171,-3.288538074,2.70E+01
33.74031622,0.480132493,2.225130124,-0.090656947,-2.833063426,4.00E+01
33.72518845,0.483498076,2.508946072,-0.169460199,-2.407361052,5.30E+01
33.71023942,0.486393272,2.790873297,-0.245580363,-2.049144508,6.60E+01
33.69546968,0.488804343,3.070006599,-0.317255276,-1.71762256,8.30E+01
33.68087802,0.490702731,3.345009255,-0.383921212,-1.377125773,7.40E+01
33.66645978,0.492043737,3.613727563,-0.445613121,-0.967920557,6.40E+01
33.65221238,0.49279262,3.874451701,-0.501700111,-0.43920221,6.00E+01
33.63813754,0.492917311,4.126445183,-0.552664804,0.174970253,5.00E+01
33.62423797,0.492393974,4.369162807,-0.598013934,0.84767283,6.70E+01
33.61051941,0.491222522,4.602729065,-0.63502054,1.564228207,6.70E+01
33.59698704,0.489390366,4.827109891,-0.662275204,2.285810272,5.40E+01
33.58364064,0.486854416,5.040995708,-0.680313121,2.999901566,6.00E+01
33.5704819,0.483577229,5.243489738,-0.689446981,3.672654712,4.10E+01
33.55751465,0.479519744,5.434157026,-0.690817844,4.220613622,4.00E+01
33.54474094,0.474642764,5.612242377,-0.685414327,4.591508157,5.10E+01
33.53216389,0.468932582,5.777423726,-0.672171273,4.773344113,4.80E+01
33.51978511,0.462371893,5.929141145,-0.650557625,4.766396243,5.40E+01
33.50760201,0.454933408,6.066039319,-0.6207824,4.61705439,5.10E+01
33.49561413,0.446604639,6.187345892,-0.582288999,4.362335064,4.80E+01
33.48382479,0.437380027,6.293128412,-0.53472916,3.979004316,4.40E+01
33.47223666,0.427263183,6.38351097,-0.477330791,3.467718644,4.10E+01
33.46085359,0.416279053,6.459114079,-0.408055817,2.848933445,5.10E+01
33.44967878,0.404443025,6.520386116,-0.325817801,2.130810785,5.00E+01
33.43871089,0.391744819,6.566698534,-0.231259138,1.347609856,4.80E+01
33.42794898,0.378172865,6.597517663,-0.125381655,0.521618266,5.40E+01
33.41739282,0.363704363,6.612349673,-0.01032216,-0.362776645,4.10E+01
33.40704042,0.348318875,6.610503915,0.111642761,-1.293328739,3.80E+01
33.39689038,0.332024899,6.591852222,0.239662418,-2.221068671,3.00E+01
33.3869399,0.314822352,6.555997183,0.371959235,-3.096149729,4.30E+01
33.3771833,0.296699356,6.501958827,0.505681969,-3.847122622,5.30E+01
33.36761679,0.277655217,6.429232809,0.638745113,-4.414551995,5.60E+01
33.35823981,0.257686827,6.337777835,0.769341754,-4.793640703,7.00E+01
33.34905273,0.2367991,6.227811354,0.896302419,-4.980469282,7.80E+01
33.34005869,0.215019093,6.100294959,1.020166529,-4.976244998,7.00E+01
33.33126081,0.19236445,5.956073153,1.140908213,-4.800137585,6.10E+01
33.32265885,0.168833844,5.795248478,1.256847395,-4.455902075,5.40E+01
33.31425467,0.144430249,5.618293046,1.366981626,-3.971578407,3.70E+01
33.30605239,0.119152343,5.425938167,1.470566029,-3.415866967,2.90E+01
33.29805464,0.093003033,5.218858162,1.56642838,-2.837243232,4.00E+01
33.29026401,0.066009618,4.998227309,1.65401032,-2.255823649,3.50E+01
33.28268186,0.038198836,4.765131439,1.732087447,-1.683672674,4.10E+01
33.275306,0.009595033,4.52025618,1.798032536,-1.098188904,4.80E+01
33.26813614,-0.019767845,4.264740105,1.84995906,-0.492675022,5.00E+01
33.2611762,-0.049858224,4.000225323,1.887110253,0.078460113,3.80E+01
33.25442938,-0.080636747,3.728474891,1.908531209,0.573909662,4.10E+01
33.24789926,-0.112048328,3.451662383,1.91369694,0.961118894,4.80E+01
33.24158939,-0.144048326,3.171708109,1.902158331,1.202038375,4.80E+01
33.23549957,-0.176610348,2.889626865,1.872552716,1.298078011,6.90E+01
33.22963016,-0.209713848,2.60631912,1.824045114,1.245895115,7.00E+01
33.22398282,-0.243354817,2.322406647,1.756572364,1.020320434,6.00E+01
33.21855722,-0.277529939,2.038235334,1.66974448,0.625240191,5.00E+01
33.21335234,-0.312217855,1.754499749,1.563190962,0.08722728,4.00E+01
33.20836586,-0.347410355,1.471369757,1.436628671,-0.551233818,3.70E+01
33.2035925,-0.383113386,1.188254081,1.289394403,-1.209482297,5.00E+01
33.1990284,-0.419325857,0.904920036,1.121365984,-1.822146934,6.10E+01
33.19467315,-0.456047595,0.621575726,0.933462462,-2.374818083,5.10E+01
33.19052661,-0.493273118,0.338602079,0.726829035,-2.854037048,5.40E+01
33.18659032,-0.530978732,0.057080292,0.503076576,-3.263017167,4.00E+01
33.1828655,-0.56915377,-0.22232034,0.264265219,-3.601356979,5.00E+01
33.17934941,-0.607814787,-0.500223321,0.012338672,-3.814104328,6.00E+01
33.17604056,-0.646976731,-0.777064197,-0.250110684,-3.861085844,5.60E+01
33.17293909,-0.68665989,-1.0532254,-0.519648777,-3.724950925,6.40E+01
33.1700437,-0.726881727,-1.329144543,-0.793312877,-3.378357627,6.10E+01
33.16735359,-0.767631539,-1.604299738,-1.06894431,-2.817686916,5.70E+01
33.16486694,-0.80889878,-1.87824128,-1.34475277,-2.038375929,4.30E+01
33.16257896,-0.850675324,-2.150873965,-1.619933595,-1.013991507,4.00E+01
33.16048628,-0.892940001,-2.421506297,-1.893588607,0.252905354,3.40E+01
33.15858817,-0.935672081,-2.689137241,-2.16369499,1.724033594,3.50E+01
33.15688342,-0.978837659,-2.952347103,-2.428962667,3.346835205,4.40E+01
33.15537156,-1.022378669,-3.208815841,-2.688847442,5.035581156,5.40E+01
33.15405165,-1.066250482,-3.456707873,-2.942040074,6.713669374,5.30E+01
33.15291959,-1.110435037,-3.695421716,-3.186722719,8.354200985,6.00E+01
33.15197145,-1.154920325,-3.924533046,-3.420338165,9.927976773,5.30E+01
33.1512038,-1.199715253,-4.144269859,-3.638683806,11.41357807,4.10E+01
33.15061205,-1.244823188,-4.354772724,-3.838084972,12.78637575,4.30E+01
33.1501921,-1.290209946,-4.554817672,-4.016606896,13.97022141,4.70E+01
33.14993897,-1.335853229,-4.743666047,-4.171705182,14.89962338,5.60E+01
33.14984571,-1.381743068,-4.921193565,-4.300612264,15.53016374,6.90E+01
33.14990678,-1.427858649,-5.086854602,-4.401170801,15.81153107,5.70E+01
33.15011892,-1.474189634,-5.240411453,-4.470821035,15.72164164,6.40E+01
33.15047965,-1.520716282,-5.381340156,-4.507919002,15.24357262,5.60E+01
33.15098861,-1.567392644,-5.508162499,-4.512577136,14.34881847,4.80E+01
33.15164553,-1.614187759,-5.620009426,-4.484454475,13.0396455,5.60E+01
33.15244793,-1.661093952,-5.717038001,-4.422356997,11.35078861,2.90E+01
33.15339498,-1.708101709,-5.799374203,-4.325729153,9.340146422,3.00E+01
33.15448757,-1.755212231,-5.867567102,-4.194054051,7.107404471,4.10E+01
33.15572589,-1.802421066,-5.922032779,-4.027229045,4.73979875,2.70E+01
33.15711046,-1.849692465,-5.962032595,-3.8266619,2.271034374,4.40E+01
33.15864129,-1.896992531,-5.98696152,-3.593821401,-0.266245814,5.40E+01
33.16031634,-1.944289191,-5.996381185,-3.330016996,-2.857439281,3.80E+01
33.16213522,-1.99154105,-5.98955591,-3.037663872,-5.477019322,4.80E+01
33.16410079,-2.038715907,-5.966166921,-2.720018148,-8.027777872,5.10E+01
33.16621585,-2.085772247,-5.925620846,-2.381110872,-10.42489071,5.10E+01
33.16848402,-2.132649599,-5.86666869,-2.026314578,-12.6036949,5.30E+01
33.17090877,-2.179299923,-5.788572933,-1.660320678,-14.49147462,5.60E+01
33.17349049,-2.225692053,-5.691252555,-1.285799004,-16.05669563,5.10E+01
33.17622983,-2.271800852,-5.574885471,-0.905030659,-17.26964902,4.40E+01
33.17912793,-2.317620632,-5.440403846,-0.519200018,-18.08119654,4.70E+01
33.18218465,-2.363143208,-5.288688839,-0.129191,-18.48070361,4.80E+01
